Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
11.04;"Сахароколка Бажовых: сладость подают кусочками. [У] тематическое размещение; дата не является годовщиной";Зачем к чаепитию понадобились кусачки с маленьким поддоном?;На схеме расколоть условный кусок сахара и увидеть, куда падают крошки. Перейти к семейному правилу Бажовых — сначала напоить гостя чаем.;"Мемориальный дом-музей П. П. Бажова, Екатеринбург. Этикетка: конец XIX в.; описание уточняет, что точные время и завод неизвестны, уральское происхождение передаётся в семейных воспоминаниях. Источник: Дом-музей П. П. Бажова — сахароколка: https://ar.culture.ru/ru/subject/saharokolka"
12.04;Хлебные лесенки: выпечка с направлением вверх. [К] День Иоанна Лествичника — ежегодная дата 12 апреля;Как рассказать о духовном пути при помощи теста?;"Сложить условный хлебец из продольной основы и перекладин; открыть связь формы с образом лестницы. Сопоставить объяснение церковного названия и народный обычай.";12 апреля — день Иоанна Лествичника. РЭМ описывает хлебные лесенки, освящение и раздачу нуждающимся. Текст обобщающий, место и время конкретной записи не указаны. Источник: РЭМ — день Иоанна Лествичника: https://ethnomuseum.ru/collections/ethnocalendar/april/den-ioanna-listvichnika/
13.04;"Городецкая кофемолка: чего не хватает в деревянном кубе. [У] тематическое размещение; дата не является годовщиной";Куда делся кофе, если зёрна засыпали сверху?;Проследить путь зерна на схеме и выбрать место для приёмного ящичка. Включить условное восстановление утраченной детали рядом с подлинным видом вещи.;"Первая половина XX в.; Городецкий музейный комплекс. Подарена Т. В. Дмитриевой из Нижнего Новгорода. На корпусе клеймо ВСНХ; ящик для молотого кофе не сохранился. Источник: Городецкий музей — ручная кофемолка: https://ar.culture.ru/ru/subject/kofemolka-12"
14.04;"Вафельница Рыбкиных: семейная память между створками. [У] тематическое размещение; дата не является годовщиной";Почему тяжёлую чугунную вещь помнят по тарелке вафель?;Развести створки на схеме и сравнить их поверхность с отпечатком выпечки. Открыть историю передачи вещи в музей и отделить её от общих сведений о вафлях.;"Ленский историко-краеведческий музей; дар Валерьяна Гавриловича Рыбкина. Карточка датирует первую половину XX в., место обозначает «Российская империя» — точные год и завод не установлены. Источник: Ленский музей — вафельница семьи Рыбкиных: https://ar.culture.ru/ru/subject/vafelnica-2"
15.04;"Дорожная чернильница: письмо начинается с маленькой крышки. [У] тематическое размещение; дата не является годовщиной";Как везти чернила с собой, когда ручку ещё надо обмакивать?;Рассмотреть крышку и внутренний сосуд, затем уложить условный набор для письма в дорогу. Каждый выбор показывает, какая вещь нужна для чернил, пера и бумаги.;"Латунная дорожная чернильница XVIII в.; Ишимский музей им. П. П. Ершова. Музей сообщает о её использовании в одном из домов села Готопутово бывшего Ишимского уезда. Источник: Ишимский музей — дорожная чернильница: https://ar.culture.ru/ru/subject/chernilnica"
16.04;Никита Водопол: у весны есть речное имя. [К] Никита Водопол — ежегодная дата 16 апреля;Что в названии народного дня напоминает о движении воды?;"Поставить рядом название дня и две подписанные фотографии весенней реки. Сравнить берега и уровень воды; отделить календарное имя от реального срока половодья.";"16 апреля, Никита Водопол, календарь РЭМ. Музейная карточка подтверждает название и дату; подробного описания местных рыбацких обрядов в ней нет. Сопоставление с рекой — наш сценарий. Источник: РЭМ — Никита Водопол: https://ethnomuseum.ru/collections/ethnocalendar/april/sredokrestie-sredoposte1/"
17.04;"Телефон из Берикуль: чтобы позвать, крутили ручку. [У] тематическое размещение; дата не является годовщиной";Что делали с телефоном, у которого нет привычного набора номера?;Повернуть ручку индуктора на схеме и проследить путь вызова. Открыть историю аппарата, переданного местным жителем в музей.;"Телефон ТАУ-1-МБ, Пермь, 1958 г.; Тисульский историко-краеведческий музей. Дар Александра Альбертовича Гафта, жителя посёлка Берикуль. Где именно аппарат работал, карточка не устанавливает. Источник: Тисульский музей — телефон 1958 года: https://ar.culture.ru/ru/subject/telefon-14"
18.04;"Шабалинский пестерь: береста за плечами. [У] тематическое размещение; дата не является годовщиной";Как освободить руки, когда несёшь всё нужное через лес?;Разместить условную поклажу в силуэте пестеря и включить вид сзади. Увидеть, как заплечная переноска отличается от ручной корзины и мартовского туеса.;"XIX в., Шабалинский район; Шабалинский краеведческий музей, берестяное плетение, 60 × 47 × 27 см. Имя мастера и владельца не указаны. Источник: Шабалинский музей — пестерь: https://ar.culture.ru/ru/subject/pester-1"
19.04;"Вичугские грабли: каждый зуб работает рядом с другим. [У] тематическое размещение; дата не является годовщиной";Почему много деревянных пальцев делают работу быстрее одного?;Провести условные грабли по схеме рыхлой земли: зубья собирают растительные остатки и разбивают комки. Разобрать соединение зубьев с колодкой.;"Вичугский городской музей, Ивановская область; в групповой карточке предмет № 1 — грабли конца XVIII — начала XIX в., дерево, 167 × 51 × 10 см. Источник: Вичугский музей — грабли, предмет № 1: https://ar.culture.ru/ru/subject/orudiya-grabli-vily-cep-kryuk-kochedyk"
20.04;"Гиагинский хомут: почему упряжь не просто ремень. [У] тематическое размещение; дата не является годовщиной";Как передать усилие лошади повозке и распределить контакт с телом?;На упрощённой схеме соединить хомут с остальными частями упряжи. Подсветить путь усилия и места прилегания, затем рассмотреть музейную конструкцию.;"1920-е гг., станица Гиагинская; Гиагинский районный краеведческий музей, экспозиция «Казачья комната». Дерево, кожа, 60 × 33 см. Источник: Гиагинский музей — хомут: https://ar.culture.ru/ru/subject/homut-2"
21.04;"Бить баклуши: вернуть выражение в мастерскую. [У] тематическое размещение; дата не является годовщиной";Почему работа с деревом стала выражением о безделье?;"Поставить рядом значение из словаря и условную заготовку ложки. Убирать лишнее дерево до грубой болванки; открыть, что подготовка материала — лишь часть работы.";"В. И. Даль, словарная статья «Баклан»: значение «баклуша» помечено костромским и нижегородским употреблением. Источник XIX в., современная электронная публикация; это языковое свидетельство, не музейный экспонат. Источник: Словарь В. И. Даля на Культура.РФ — баклуша: https://www.culture.ru/lectures/dictionaries/49422/baklan"
22.04;"Погарская колодка: сапог начинается с деревянной ноги. [У] тематическое размещение; дата не является годовщиной";Почему сапожнику нужна ещё одна нога, кроме ноги заказчика?;"Примерить условную кожаную заготовку к колодке; увидеть, как форма держит будущий сапог. Открыть торговые связи погарских мастерских.";"Начало XX в., Погар; музей «Радогощ», дерево, 30 × 9 см. Источник связывает ремесло с рынками Великороссии и Малороссии, отмечает местное слово «шавец». Сюжет о культурных связях пограничья; этничность мастера не установлена. Источник: Музей «Радогощ» — сапожная колодка: https://ar.culture.ru/ru/subject/sapozhnaya-kolodka"
23.04;"Рожок Ф. Ровняка: голос пастуха становится музыкой. [У] тематическое размещение; дата не является годовщиной";Может ли рабочий сигнал превратиться в мелодию для гулянья?;"Прослушать подписанные примеры сигнала и наигрыша; отметить разницу ритма. Рассмотреть отверстия рожка и связь инструмента с пастушеским трудом.";"Ф. Ровняк, 1916 г., Митрофаново; Музей музыки, можжевельник, 63,8 см. Регион в карточке дан как «Ивановская область, Селивановский район»; историческую географию надо уточнить. Источник: Музей музыки — рожок Ф. Ровняка: https://ar.culture.ru/ru/subject/rozhok-pastushiy"
24.04;"Касимовка: у города есть свой звуковой порядок. [У] тематическое размещение; дата не является годовщиной";Почему привычному гармонисту бывает трудно сыграть на другой гармони?;Сравнить два проверенных коротких звукоряда и движение меха. На схеме увидеть, что одинаковый жест на разных системах может давать разные звуки.;"XIX в., Касимовский уезд; Касимовский историко-культурный музей-заповедник. Двухрядная гармонь-касимовка, 35 × 34 × 17 см; музей описывает местные особенности звукоряда. Источник: Касимовский музей — гармонь-касимовка: https://ar.culture.ru/ru/subject/garmon"
25.04;"Балалайка Налимова: три струны выходят на сцену. [У] тематическое размещение; дата не является годовщиной";Что должен сделать мастер, чтобы знакомый инструмент зазвучал в оркестре?;Рассмотреть корпус и три струны, включить подписанные образцы приёмов игры. Переключить сольное звучание и ансамбль, проследить путь инструмента из быта на сцену.;"Семён Иванович Налимов, 1902 г.; село Марьино-Андреевское Тверской губернии, Музей музыки. Ель, клён, чёрное дерево, перламутр, лак, металл. Источник: Музей музыки — балалайка С. И. Налимова: https://ar.culture.ru/ru/subject/balalayka-prima-1"
26.04;"Красная горка: выйти из зрителей в общий круг. [У] условное размещение пасхального сюжета; праздник подвижный, это не его дата";Что меняется в празднике, когда человек сам входит в хоровод?;На условной схеме занять место в круге и пройти простой фрагмент движения. Сравнить собственную последовательность с подписанной записью музейной программы.;"РЭМ, современная танцевально-игровая программа «Красная горка», 2026 г. Подтверждено сегодняшнее музейное представление традиции; это не полевая запись старинного деревенского праздника. Источник: РЭМ — программа «Красная горка», 2026: https://ethnomuseum.ru/events1/programs/arhiv-programm/krasnaya-gorka/tan-igro-prog-krasnaya-gorka/"
27.04;"Русская Тростянка: как голоса держатся вместе. [У] тематическое размещение; дата не является годовщиной";Почему народный хор не звучит как несколько одинаковых голосов?;Послушать короткую подписанную запись и отметить вступления голосов на ленте времени. Повторное прослушивание с пояснениями помогает услышать многоголосие и импровизацию.;"Село Русская Тростянка, Острогожский район Воронежской области; описание Центра русского фольклора на Культура.РФ. Этнос — русские; зафиксированы местные певческие приёмы и репертуар. Дата выбранной записи уточняется отдельно. Источник: Центр русского фольклора — Русская Тростянка: https://www.culture.ru/objects/382/pesennaya-tradiciya-sela-russkaya-trostyanka-ostrogozhskogo-raiona-voronezhskoi-oblasti"
28.04;"Невьянские биты: заводское мастерство в детской игре. [У] тематическое размещение; дата не является годовщиной";Почему детская игровая бита отлита из чугуна и украшена?;"Приблизить рисунок на подлинной бите; затем выбрать направление одного условного броска по расставленным бабкам. Узнать, как мастерство заводского города входило в досуг.";"1858 г.; чугунные биты невьянских мастеров, Музей истории Невьянского края. Кто именно их изготовил и для кого, не установлено; семейные связи в карточке даны как предположение. Источник: Музей истории Невьянского края — чугунные биты: https://ar.culture.ru/ru/subject/bity-dlya-igry-v-babki"
29.04;"Патефон «Молот»: танцы помещаются в чемодан. [У] тематическое размещение; дата не является годовщиной";Как устроить музыкальный вечер там, где нет розетки?;Завести условную пружину, положить пластинку и проследить путь звука к встроенному рупору. Затем открыть, как переносной аппарат собирал людей вокруг музыки.;"1940–1950-е гг., завод «Молот», Вятские Поляны; музей «Самарская Лука». Музейная карточка описывает пружинный привод и корпус для переноски. История конкретного прежнего владельца не дана. Источник: Музей «Самарская Лука» — патефон: https://ar.culture.ru/ru/subject/patefon-62"
30.04;"Маргарита Стриленко: маленькая игра живёт сегодня. [У] тематическое размещение; дата не является годовщиной";Можно ли вытащить крошечную расписную вещь, не потревожив остальные?;Выбрать свободную бирюльку и осторожно провести условный крючок. Увеличить миниатюрный узор и увидеть современную работу мастера в старой игровой форме.;"Маргарита Николаевна Стриленко, Кандалакша, 2023 г.; Музей истории города Кандалакша. Набор бирюлек, токарная работа, борецкая роспись; фигурки размером 1–2 см. Англоязычный адрес карточки содержит русский текст. Источник: Музей Кандалакши — набор Маргариты Стриленко: https://ar.culture.ru/en/subject/nabor-biryulek"
