Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
21.01;Как из кудели появляется нить. [У] зимнее прядение;Прялка удерживает волокно, а веретено скручивает нить. За привычным названием скрыта работа двух разных предметов и умелых пальцев.;Управлять вытягиванием пряди и вращением веретена в учебной анимации. По изменениям скрутки понять разные задачи прялки и веретена.;"Олонецкая губерния; «Кижи» описывают крепление кудели, вытягивание волокна и скручивание веретеном. Для русского сценария выбирается пример Заонежья. Источник: Кижи — прядение: https://site.kizhi.karelia.ru/crafts/pryadenie"
22.01;Рубель: разгладить без горячего утюга. [У] домашняя работа зимой;Ребристая доска расправляет бельё без горячей подошвы. Рубель работает вместе с валиком: тяжёлый домашний труд превращён в точный приём.;"Намотать виртуальную ткань на скалку и прокатить рубель. Анимация показывает действие рёбер и нажима; результат связывает форму вещи с трудом хозяйки.";"Рубель начала XX в., Музей Ф. М. Решетникова, Екатеринбург. Карточка описывает накручивание белья на скалку и прокатывание; точное место изготовления не указано. Источник: Музей Ф. М. Решетникова — рубель, ARTEFACT: https://ar.culture.ru/ru/subject/rubel-38"
23.01;Пояс: узор рождается между нитями. [У] зимнее рукоделие и одежда;Дощечка поднимается — нити меняются местами. В узком поясе остаётся порядок движений ткачихи: рисунок рождается из переплетения.;"Поднимать и опускать бёрдышко, проводить челнок. На экране растёт короткий образец пояса; посетитель видит, как переплетение образует тканую полосу.";"Русские Заонежья и Пудожья; «Кижи» прямо называют эти группы среди носителей ткачества на бёрдышке. Описаны отверстия, прорези и образование зева. Источник: Кижи — ткачество поясов на бёрдышке: https://site.kizhi.karelia.ru/crafts/tkachestvo-poyasov-na-byordyishke"
24.01;Понёва: клетка, по которой различали наряды. [У] региональная одежда;Перед нами русский женский наряд без сарафана. Клетчатая понёва открывает другой крой и местную традицию, которую нельзя свести к одной картинке.;Сопоставить комплексы двух названных сёл, открыть крой и клетку понёв. Сравнение показывает местные различия без игры в угадывание происхождения человека.;"РЭМ: комплексы с понёвой из с. Нижняя Ведуга Воронежской губ. и с. Свинушки Рязанской губ. Альбом подтверждает местные различия; даты выбранных вещей уточнить. Источник: РЭМ — «Русский народный костюм», Е. Л. Мадлевская: https://collection.ethnomuseum.ru/entity/ARTICLE/2311"
25.01;Татьянин день: город становится студенческим. [К] студенческий праздник, 25 января;Университетский праздник выходит на московские улицы. Встреча «старых студентов» связывает людей, чьи годы учёбы давно остались позади.;Двигаться по документированному маршруту праздничного дня: университет, встреча выпускников, гулянье. Из свидетельств собрать историю студенческого сообщества.;"Москва, XIX–XX вв.; летопись МГУ и календарь РЭМ. 25 января — современная дата праздника; 12 января 1755 г. старого стиля при историческом пересчёте — 23 января. Источник: МГУ — история Татьяниного дня: https://letopis.msu.ru/content/tatyanin-den; РЭМ — Татьянин день: https://ethnomuseum.ru/collections/ethnocalendar/january/tatyanin-den/"
26.01;Самовар: горячая вода собирает гостей. [У] зимнее чаепитие;Вода окружает огонь, но не гасит его. Внутри самовара проходит жаровая труба — семейное чаепитие начинается с продуманного устройства.;Открыть разрез угольного самовара и проследить путь тепла к воде, затем перейти к сервировке. Устройство вещи связывается с совместным чаепитием.;"Тула; музей «Тульские самовары» объясняет устройство настоящего угольного самовара через демонстрацию. Исторический экспонат и датировку для календаря ещё выбрать. Источник: Музей «Тульские самовары» — устройство самовара и чаепитие: https://museum-tula.ru/muzei/muzej-samovar/afisha/14568/"
27.01;Кужонка: корзина из берёзовой коры. [У] зимняя работа с заготовленным материалом;Берестяные ленты переплетаются без нитки и ткани. Снятая летом кора становится домашней утварью: гибкость материала работает на мастера.;"Переплести берестяные ленты и поднять стенки виртуальной корзины. При изменении порядка лент меняется соединение; посетитель понимает устройство плетёной вещи.";"Русские Заонежья; «Кижи»: кужонки — распространённые корзины без ручек для муки, яиц и круп. Бересту заготавливали в начале лета, работу начинали после полевого сезона. Источник: Кижи — берестоплетение: https://site.kizhi.karelia.ru/crafts/berestopletenie"
28.01;Деревянный конь: игрушка выходит из полена. [У] зимний семейный досуг;Несколько зарубок — и в дереве проступает конь. Мастер убирает лишнее так, что маленькая игрушка сохраняет узнаваемый характер животного.;"Снимать слои в цифровой заготовке, сверяясь с этапами работы резчика. Появляется силуэт игрушки; посетитель видит переход от общего объёма к детали.";Северная русская игрушка конца XIX — начала XX в. в репликах Д. Н. Москина, описанных музеем «Кижи». Современная копия не объявляется старинным оригиналом. Источник: Кижи — деревянная игрушка и мастер Д. Н. Москин: https://site.kizhi.karelia.ru/crafts/izgotovlenie-derevyannoj-igrushki
29.01;"Семейские: память, которую поют вместе. [У] зимняя встреча; не дата возникновения традиции";Дом перевозят по брёвнышку, а песню уносят в памяти. Общий голос помогает переселенцам сохранять связь с оставленной родиной.;"Слушать подписанный фрагмент и следить по тексту за вступлениями участников. Карта связывает певцов и место записи; посетитель слышит, как сообщество сохраняет память.";"Русские старообрядцы-семейские Забайкалья; фильм и описание культурного пространства на Культура.РФ. Традиция показана в современном бытовании; конкретную запись ещё выбрать. Источник: Культура.РФ — фильм о семейских Забайкалья: https://www.culture.ru/live/movies/846/kulturnoe-prostranstvo-i-pesennoe-tvorchestvo-semeiskikh-zabaikalya; Культура.РФ — культурное пространство семейских: https://www.culture.ru/institutes/10073/kulturnoe-prostranstvo-i-pesennoe-tvorchestvo-semeiskikh-zabaikalya"
30.01;Семейский сундук: цветы среди зимы. [У] домашняя вещь и живая традиция;Снаружи мороз, на сундуке цветут букеты. Роспись превращает место хранения вещей в яркий домашний мир, созданный человеческими руками.;Рассмотреть местный образец, выделить палитру и повторяющиеся элементы, затем составить свою композицию. Сравнение показывает связь авторской работы с традицией.;Семейские Забайкалья, Тарбагатайский район. Дом ремёсел: занятие Ю. А. Пластининой по росписи сундуков, 2021 г. Исторический сундук для сопоставления пока не выбран. Источник: Тарбагатайский Дом ремёсел — «Старинный сундучок»: https://www.culture.ru/events/1211708/starinnyi-sunduchok
31.01;"От нити к половичку: мастерство продолжается. [У] итог зимнего месяца; связь с живой традицией";За полоской ткани скрываются прядение, ткачество и отделка. Обычная вещь становится видимой цепочкой труда — от волокна до семейного дома.;На образце полотняного переплетения провести несколько рядов и увидеть растущую полоску. Затем сравнить свой фрагмент с работой мастера и сохранить карточку открытия.;Музей «Кижи»: ткачество в быту Олонецкой губернии и современные демонстрации. Январь — редакционная дата знакомства: источник относит традиционное основное ткачество к Великому посту. Источник: Кижи — ткачество и его современные мастера: https://site.kizhi.karelia.ru/crafts/tkachestvo
