Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
11.11;"Торжокское золотное шитьё: блеск ложится стежками. [У] Редакционное размещение; не историческая дата возникновения.";Блестящая нить торжокского шитья удерживается на ткани стежками. Под нарядной поверхностью находится точный порядок закрепления материала.;"На увеличенной схеме выбранного приёма проследить крепление; затем найти его на музейной работе.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
12.11;"Крестецкая строчка: узор появляется в просветах. [У] Редакционное размещение; не историческая дата возникновения.";В крестецкой строчке часть нитей убирают ради узора. Просветы становятся рисунком, а оставшиеся соединения удерживают ткань целой.;"На условной сетке выделить нити основы и рисунка; сравнить с подписанным образцом строчки.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
13.11;"Елецкое кружево: мелкая сетка держит рисунок. [У] Редакционное размещение; не историческая дата возникновения.";Мелкая сетка елецкого кружева связывает крупные мотивы. Воздушный рисунок держится на деталях, которые легко пропустить при первом взгляде.;Приблизить выбранную работу, найти связки между мотивами и проследить один участок.;"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
14.11;Кузьминки: праздник ремесла и молодёжного общения. [К] Ежегодная дата по современному гражданскому календарю.;Кузьминки соединяют ремесленный труд с молодёжным общением. Праздничный день открывает другой порядок встречи внутри сезона вечерней работы.;"В музейном описании выделить выбранный русский обычай; собрать его участников и последовательность.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — КУЗЬМИНКИ: https://ethnomuseum.ru/collections/ethnocalendar/november/kuz-minki/"
15.11;"Кружево «Трактор»: техника принимает новый сюжет. [У] Редакционное размещение; не историческая дата возникновения.";Трактор появляется внутри кружевного узора. Народная техника принимает машинный сюжет — традиционное ремесло рассказывает о новой эпохе.;"Найти трактор внутри орнамента музейного края; сравнить технический силуэт и кружевное решение.";"Предметная карточка кружевного края «Трактор»; хлопчатобумажная нить, сцепная техника. Автора и дату уточнить по полной карточке. Источник: Вологодский музей — кружево «Трактор»: https://ar.culture.ru/ru/subject/kray-kruzhevnoy-traktor"
16.11;"Павловопосадский платок: букет виден даже в складках. [У] Редакционное размещение; не историческая дата возникновения.";Букет павловопосадского платка остаётся виден в складках. Композиция рассчитана на ношение: квадрат ткани работает в объёмном движении.;"Сложить условный квадрат тремя способами; увидеть, какие части композиции остаются на виду.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
17.11;"Оренбургский пуховый платок: тепло в тонкой нити. [У] Редакционное размещение; не историческая дата возникновения.";Тонкая пуховая нить собирается в оренбургский платок. Лёгкость вещи связана с материалом и вязанием, которые можно рассмотреть вблизи.;"Под лупой сравнить пряжу и рисунок выбранного платка; документированные испытания показывать отдельно от легенд.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
18.11;"Каслинское литьё: металл передаёт мелкую форму. [У] Редакционное размещение; не историческая дата возникновения.";Каслинское литьё передаёт тонкие детали в тяжёлом металле. Видимая лёгкость формы требует точной работы на разных этапах изготовления.;"Повернуть выбранную бытовую отливку; найти тонкие элементы и открыть этапы формы и литья по источнику.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
19.11;"Тагильский поднос: металл становится цветочным полем. [У] Редакционное размещение; не историческая дата возникновения.";Тёмный тагильский поднос становится цветочным полем. Роспись меняет восприятие металла, сохраняя форму вещи для повседневного использования.;"Наложить условную композицию на разные фоны; сравнить с атрибутированным подносом.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
20.11;"Шемогодская береста: узор прорезан насквозь. [У] Редакционное размещение; не историческая дата возникновения.";Шемогодский узор прорезан в бересте насквозь. Тонкие перемычки удерживают ажур целым — красота зависит от сохранённой прочности материала.;"На условном фрагменте выделить перемычки; сопоставить их с выбранным резным изделием.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
21.11;"Вятский кап: дерево уже принесло свой рисунок. [У] Редакционное размещение; не историческая дата возникновения.";Вятский кап приносит природный рисунок ещё до обработки. Мастер выбирает форму, в которой выросшая структура дерева становится видимой.;"Сопоставить заготовку и вещь; выделить природный рисунок и обработанную форму.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
22.11;"Холмогорская резьба по кости: маленькие просветы. [У] Редакционное размещение; не историческая дата возникновения.";Холмогорская резьба складывает ажур из маленьких просветов. Отдельная костяная деталь требует точного соединения с остальными частями вещи.;"Увеличить выбранный образец; проследить границы вставки и способ её соединения с основой.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
23.11;"Тобольская костяная миниатюра: жест в малом масштабе. [У] Редакционное размещение; не историческая дата возникновения.";Тобольская миниатюра передаёт занятие человека в малом масштабе. Жест и рабочий предмет помогают прочитать сцену без длинного пояснения.;"Рассмотреть подписанную бытовую сцену с разных сторон; найти предмет, объясняющий действие.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
24.11;"Абрамцево-кудринская резьба: листья выходят из поверхности. [У] Редакционное размещение; не историческая дата возникновения.";Листья кудринской резьбы выступают над поверхностью дерева. Округлый рельеф меняет свет и тень, когда взгляд смещается вокруг вещи.;"Передвинуть условный источник света над цифровым образцом; сравнить рельеф и плоский контур.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
25.11;"Дулёвская чашка: повседневная вещь несёт роспись. [У] Редакционное размещение; не историческая дата возникновения.";Роспись дулёвской чашки учитывает ручку и край. Цветок попадает на предмет, которым пользуются, — художественная композиция встречается с формой посуды.;"Разместить условный цветок на форме чашки; сопоставить с выбранным подписанным изделием.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
26.11;"Скопинский сосуд: гончарная форма становится затейливой. [У] Редакционное размещение; не историческая дата возникновения.";Скопинский сосуд соединяет ёмкость с фигурным декором. Среди затейливых деталей остаются горло, ручка и рабочее устройство посуды.;"Повернуть музейный образец; найти горло, ручку и декоративные части, прочитать их описание.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
27.11;"Судогодская игрушка: местный почерк в маленькой вещи. [У] Редакционное размещение; не историческая дата возникновения.";Судогодская игрушка сохраняет местный почерк в маленькой форме. Сравнение близких вещей помогает заметить отличия, которые теряются за общим словом «промысел».;"Сравнить подписанные местные образцы с другим центром; выделить только наблюдаемые отличия.";"Репортаж о выставке, 2024: судогодская игрушка из современных материалов в русском народном костюме. Это современная работа; автор и конкретный экземпляр ещё выбираются. Источник: ГТРК Владимир — выставка судогодских мастеров: https://vladtv.ru/culture/152372/"
28.11;"Подпись мастера: увидеть человека за узором. [У] Редакционное размещение; не историческая дата возникновения.";Подпись возвращает узору имя мастера. Народное ремесло состоит из труда конкретных людей — знакомый рисунок не возникает сам по себе.;"Найти подпись или документированное имя у выбранной вещи; собрать короткую карточку автора.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
29.11;"Ученическая работа: ошибка показывает путь к умению. [У] Редакционное размещение; не историческая дата возникновения.";Ученическая ошибка показывает ещё не освоенный приём. Сравнение работ делает видимым путь руки от первой попытки к уверенной точности мастера.;"С разрешения мастера сопоставить учебный и зрелый образцы; открыть конкретный освоенный приём.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
30.11;"Посиделки: совместная работа и разговор. [У] Редакционное размещение; не историческая дата возникновения.";На посиделках трудятся и разговаривают вместе. Вечерняя работа становится местом общения, где передаются песни, рассказы и повседневный опыт.;"По локальному свидетельству разместить участников и занятия; открыть записанную песню или рассказ той же традиции.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
