source_date,title,hook,mechanic,evidence,source_urls,boundary_note,editorial_dependency,assignment_status
17.03,Герасим Грачевник: заметить возвращение птиц,Как прилёт грачей превращался в событие всей деревни?,"Отметить птиц и гнёзда на документированном весеннем изображении, затем открыть местное наблюдение и народное толкование. Сравнить, что человек видел и чего ожидал.",17 марта. РЭМ связывает день с наблюдениями за грачами в центральной и отчасти северной России и описывает встречу весны. Реальный прилёт зависит от места и погоды.,https://ethnomuseum.ru/collections/ethnocalendar/march/gerasim-grachevnik/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
22.03,"Сороки: жаворонок, которого испекли для весны",Почему весну встречали с птицей из теста в руках?,"Сравнить два музейных муляжа и собрать условный силуэт летящей птицы. Открыть рассказ о детском участии во встрече весны и о том, как съедобная вещь попала в музей.","22 марта. РЭМ: муляж печенья «жаворонки», русские, г. Тверь, 1904 г.; второй муляж «жаворонок», русские, 1910 г. Это музейные муляжи, не сохранившаяся выпечка.",https://ethnomuseum.ru/collections/ethnocalendar/march/soroki-den-pamyati-soroka-muchenikov-sevastijskih/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
30.03,Алексей Тёплый: прочитать весну по её именам,Почему у одного дня столько водяных названий?,"Сопоставить названия «водотек», «пролей кувшин», «с гор потоки» с изображениями весенней воды. Открыть объяснение и отделить метафору от прогноза погоды.","30 марта. Программа Старооскольского Дома ремёсел «Секреты Алексея теплого», 2025 г., описывает названия дня и народные представления. Это современное культурное описание, не полевая запись.",https://www.culture.ru/events/5691822/programma-sekrety-ale,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
05.04,Вербная ветка: как пальма стала близкой,Почему праздник о далёком Иерусалиме встречают с вербой?,"Соединить евангельский сюжет, пальмовую ветвь и местную вербу. При каждом соединении открывается объяснение: один смысл получает знакомый растительный образ.","Обзор РЭМ о православном Вербном воскресенье, последнее воскресенье перед Пасхой. Описана замена пальмовых ветвей вербой и русские домашние обычаи; конкретная местная запись не приведена.",https://ethnomuseum.ru/collections/ethnocalendar/april/verbnoe-voskresene/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
07.04,"Благовещение: день, когда работу откладывали","Что важнее привычной работы, если даже прялку оставляют в покое?",На условной сцене домашнего дня отметить работу и праздничную паузу. Открыть объяснения запретов как верований и способа выделить особое время.,"7 апреля по современному календарю. РЭМ описывает Благовещение и народные запреты на работу; это обобщение русской традиции, без единой обязательной практики для всех мест.",https://ethnomuseum.ru/collections/ethnocalendar/april/blagovewenie/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
08.04,Пасхальное яйцо: подарок с обращением внутри,"Может ли маленький подарок рассказать, кто и кому его поднёс?","Открыть створки цифрового изображения, приблизить надпись, затем соединить дарителей и адресата. Прочитать подарок как человеческое обращение.","Москва, конец XIX в.; деревянное расписное яйцо из Музея имени Андрея Рублёва; подношение Елизавете Фёдоровне от московских старообрядцев, приемлющих священство. Размер 15,6 × 10 см; дерево, левкас, темпера, токарная работа.",https://ar.culture.ru/ru/subject/pashalnoe-yayco-1,Личное обращение и дарение; техника изготовления яйца вторична.,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
09.04,Каталочки: яйцо становится игровым снарядом,"Как выиграть пасхальное яйцо, не разбивая его?","Выбрать направление на условном деревянном желобе и скатить яйцо к другим. После хода увидеть, какой предмет задет и как меняется очередь по выбранному варианту правил.","Культура.РФ описывает пасхальное катание яиц с дощечки или горки, в том числе применение деревянных яиц. Источник обзорный; единые правила всех русских селений не заявляются.",https://www.culture.ru/themes/630/kak-na-rusi-otmechali-paskhu,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
10.04,Пасхальная открытка: праздник приходит по почте,"Как поздравить человека, до которого нельзя дойти пешком?","Рассмотреть несколько открыток РНБ и выбрать изобразительное обращение к близкому. Составить собственное короткое поздравление, сохранив подпись исторического образца.","РНБ, виртуальная выставка русской пасхальной открытки начала XX в. Представлены разные издатели и художники; конкретный лист с лицевой и оборотной стороной отбирается перед страницей.",https://expositions.nlr.ru/ex_print/paskha/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
12.04,Хлебные лесенки: выпечка с направлением вверх,Как рассказать о духовном пути при помощи теста?,Сложить условный хлебец из продольной основы и перекладин; открыть связь формы с образом лестницы. Сопоставить объяснение церковного названия и народный обычай.,"12 апреля — день Иоанна Лествичника. РЭМ описывает хлебные лесенки, освящение и раздачу нуждающимся. Текст обобщающий, место и время конкретной записи не указаны.",https://ethnomuseum.ru/collections/ethnocalendar/april/den-ioanna-listvichnika/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
16.04,Никита Водопол: у весны есть речное имя,Что в названии народного дня напоминает о движении воды?,Поставить рядом название дня и две подписанные фотографии весенней реки. Сравнить берега и уровень воды; отделить календарное имя от реального срока половодья.,"16 апреля, Никита Водопол, календарь РЭМ. Музейная карточка подтверждает название и дату; подробного описания местных рыбацких обрядов в ней нет. Сопоставление с рекой — наш сценарий.",https://ethnomuseum.ru/collections/ethnocalendar/april/sredokrestie-sredoposte1/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
26.04,Красная горка: выйти из зрителей в общий круг,"Что меняется в празднике, когда человек сам входит в хоровод?",На условной схеме занять место в круге и пройти простой фрагмент движения. Сравнить собственную последовательность с подписанной записью музейной программы.,"РЭМ, современная танцевально-игровая программа «Красная горка», 2026 г. Подтверждено сегодняшнее музейное представление традиции; это не полевая запись старинного деревенского праздника.",https://ethnomuseum.ru/events1/programs/arhiv-programm/krasnaya-gorka/tan-igro-prog-krasnaya-gorka/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
27.04,Русская Тростянка: как голоса держатся вместе,Почему народный хор не звучит как несколько одинаковых голосов?,Послушать короткую подписанную запись и отметить вступления голосов на ленте времени. Повторное прослушивание с пояснениями помогает услышать многоголосие и импровизацию.,"Село Русская Тростянка, Острогожский район Воронежской области; описание Центра русского фольклора на Культура.РФ. Этнос — русские; зафиксированы местные певческие приёмы и репертуар. Дата выбранной записи уточняется отдельно.",https://www.culture.ru/objects/382/pesennaya-tradiciya-sela-russkaya-trostyanka-ostrogozhskogo-raiona-voronezhskoi-oblasti,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
01.05,Калитка: граница между своим двором и улицей,"Что меняется, когда гость переступает порог двора?","Открыть схему двора, выбрать путь гостя и хозяина; сравнить их остановки у хозяйственных построек.","Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию.",https://ethnomuseum.ru/exposition/permanent/russians/,,Общий обзор; нужен предмет,Редакторское предложение; новая дата выпуска не назначена
06.05,Егорий вешний: первый выход стада,Почему начало выпаса становилось событием для деревни?,На карте выбранного села провести стадо от дворов к пастбищу; открыть подтверждённый местный обычай этого дня.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/may/egorev-den-yurev-den-egorij-veshnij/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
08.05,Куриное гнездо: маленькое хозяйство внутри большого,Как двор помогает заботиться о домашних птицах?,"Расположить гнездо, корм и воду на схеме выбранного хозяйства; получить объяснение из музейного комментария.","Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию.",https://ethnomuseum.ru/exposition/permanent/russians/,,Общий обзор; нужен предмет,Редакторское предложение; новая дата выпуска не назначена
09.05,Семейная фотография после Победы,Какие следы большого события остаются в домашнем альбоме?,Рассмотреть выбранный подписанный семейный снимок; отделить видимые детали от воспоминаний владельцев и сохранить карточку памяти.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/may/den-pobedy/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
21.05,"Вознесение: праздник, который передвигается",Почему этот день нельзя навсегда поставить на 21 мая?,"Передвинуть Пасху на условной ленте, увидеть положение Вознесения через сорок дней; открыть один подтверждённый русский обычай.",Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/may/voznesenie/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
22.05,Никола вешний: святой в хозяйственном году,Как одна память соединяла разные занятия людей?,Выбрать из музейного текста один местный сюжет; связать календарную дату с хозяйственным действием и картой места.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/may/nikola-veshnij-nikolin-den-den-nikolaya-chudotvorca/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
24.05,Азбука в доме: буквы становятся семейным умением,"Как научиться читать, если книг совсем немного?",Разобрать страницу выбранной старой азбуки и составить слово из её букв; рядом открыть современное чтение.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/may/den-slavyanskoj-pismennosti-i-kultury-den-svyatyh-kirilla-i-mefodiya/,Семейное обучение чтению; конкретная азбука ещё нужна.,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
27.05,"Лавка у дома: место, где узнают новости",Как небольшая скамья становится местом общения?,На подписанном снимке отметить участников и направление взгляда; собрать короткую сцену только из документированных сведений.,"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию.",https://ethnomuseum.ru/exposition/permanent/russians/,,Общий обзор; нужен предмет,Редакторское предложение; новая дата выпуска не назначена
28.05,Семик: зелёные ветви в праздничном круге,Почему берёза появляется в рассказах о начале лета?,Сопоставить музейное описание и изображение одного обряда; восстановить последовательность действий с ветвями.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/may/semik-zelenye-svyatki/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
31.05,Троица: дом встречает зелёное лето,Что меняется в знакомом интерьере в праздничный день?,Наложить на схему дома подтверждённое для выбранного места убранство; открыть различие церковного праздника и местного обычая.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/may/troica-den-svyatoj-troicy-pyatidesyatnica/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
02.06,Земля-именинница: у труда бывает пауза,Почему в народном календаре могли откладывать работу с землёй?,Выбрать действие из местного описания Духова дня; открыть его календарный и обрядовый контекст.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/june/duhov-den-den-svyatogo-duha-zemlya-imeninnica/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
03.06,Олёна-льняница: имя дня и будущая ткань,Как июньский посев связан с зимней рубахой?,Соединить календарное имя с растением и конечной вещью; на ленте года увидеть длительность всего пути.,Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора.,https://ethnomuseum.ru/collections/ethnocalendar/june/olna-lnyanica-den-svyatyh-konstantina-i-eleny/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
04.06,"Горелки: поймать момент, когда пара разбегается",Что важнее в этой игре — скорость или внимание?,Пройти один короткий раунд на схеме; после выбора получить разбор по выбранному варианту правил.,"Современное описание народных игр учреждением культуры, 2021. Местный исторический вариант правил ещё выбирается.",https://www.culture.ru/events/944859/onlain-chas-russkie-narodnye-igry,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
05.06,Лапта: успеть добежать и вернуться,"Когда выгоднее бежать, а когда ждать?",Выбрать момент старта в условном игровом эпизоде; увидеть ответ команды соперников и объяснение решения.,"Современное описание народных игр учреждением культуры, 2021. Местный исторический вариант правил ещё выбирается.",https://www.culture.ru/events/944859/onlain-chas-russkie-narodnye-igry,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
06.06,"Городки: пять чурок, множество фигур",Как одна и та же пятёрка создаёт разные задачи?,"Собрать две фигуры по музейной иллюстрации, наметить бросок и сравнить, какие части фигуры он затронет.","Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию.",https://ethnomuseum.ru/exposition/permanent/russians/,,Общий обзор; нужен предмет,Редакторское предложение; новая дата выпуска не назначена
07.06,Салочки: маленькое изменение правил меняет игру,Зачем участники заранее договариваются о границах?,Передвинуть границу площадки на схеме и проиграть один эпизод; увидеть роль общего правила.,"Современное описание народных игр учреждением культуры, 2021. Местный исторический вариант правил ещё выбирается.",https://www.culture.ru/events/944859/onlain-chas-russkie-narodnye-igry,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
08.06,Считалка: выбрать водящего без спора,Как ритм помогает группе принять решение?,"Проговорить выбранную записанную считалку по долям, распределить слоги между участниками и узнать её место записи.","Современное описание народных игр учреждением культуры, 2021. Местный исторический вариант правил ещё выбирается.",https://www.culture.ru/events/944859/onlain-chas-russkie-narodnye-igry,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
