source_date,title,hook,mechanic,evidence,source_urls,boundary_note,editorial_dependency,assignment_status
27.01,Кужонка: корзина из берёзовой коры,"Кору сняли летом, а зимой из неё делают домашнюю утварь. Как ленты держатся без ткани?",Переплести берестяные ленты и поднять стенки виртуальной корзины. При изменении порядка лент меняется соединение; посетитель понимает устройство плетёной вещи.,"Русские Заонежья; «Кижи»: кужонки — распространённые корзины без ручек для муки, яиц и круп. Бересту заготавливали в начале лета, работу начинали после полевого сезона.",https://site.kizhi.karelia.ru/crafts/berestopletenie,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
28.01,Деревянный конь: игрушка выходит из полена,Несколько зарубок — и в куске дерева уже виден конь. Как мастер замечает его раньше нас?,"Снимать слои в цифровой заготовке, сверяясь с этапами работы резчика. Появляется силуэт игрушки; посетитель видит переход от общего объёма к детали.","Северная русская игрушка конца XIX — начала XX в. в репликах Д. Н. Москина, описанных музеем «Кижи». Современная копия не объявляется старинным оригиналом.",https://site.kizhi.karelia.ru/crafts/izgotovlenie-derevyannoj-igrushki,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
30.01,Семейский сундук: цветы среди зимы,"Снаружи мороз, а на сундуке цветут яркие букеты. Как роспись меняла домашний мир?","Рассмотреть местный образец, выделить палитру и повторяющиеся элементы, затем составить свою композицию. Сравнение показывает связь авторской работы с традицией.","Семейские Забайкалья, Тарбагатайский район. Дом ремёсел: занятие Ю. А. Пластининой по росписи сундуков, 2021 г. Исторический сундук для сопоставления пока не выбран.",https://www.culture.ru/events/1211708/starinnyi-sunduchok,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
31.01,От нити к половичку: мастерство продолжается,За месяц мы разобрали столько вещей. Сможешь теперь увидеть труд за обычной полоской ткани?,На образце полотняного переплетения провести несколько рядов и увидеть растущую полоску. Затем сравнить свой фрагмент с работой мастера и сохранить карточку открытия.,Музей «Кижи»: ткачество в быту Олонецкой губернии и современные демонстрации. Январь — редакционная дата знакомства: источник относит традиционное основное ткачество к Великому посту.,https://site.kizhi.karelia.ru/crafts/tkachestvo,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
01.02,Набойная доска: напечатать ткань вручную,Одна деревянная доска — а узором можно покрыть целый сарафан. Как?,"Поставить оттиск, сдвинуть доску и совместить повтор рисунка. При неверном шаге узор разрывается; при совпадении складывается полоса ткани.","Россия, XIX в.; Всероссийский музей декоративного искусства, набойная доска. Место точнее страны не указано; карточка объясняет печать по холсту.",https://ar.culture.ru/ru/subject/naboynaya-doska-3,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
02.02,Калязинские коклюшки: как нити становятся кружевом,Десятки деревянных палочек — как не запутать нити?,Пошагово провести две пары нитей по одному элементу сколка; подсветка показывает возникшее переплетение. Затем открыть работу кружевницы и целое кружево.,"Коклюшки XIX в., Тверская губерния; Музей тверского быта. Обзор описывает зимний сезон работы калязинских мещанок.",https://ar.culture.ru/ru/subject/koklyushki-dlya-kruzhevopleteniya,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
03.02,Понева из Парахина: клетка рассказывает о месте,Почему эту одежду узнают по клетке — и почему она не похожа на сарафан?,"Рассмотреть ткань, развернуть схему полотнищ и собрать распашную форму. Увидеть, что сообщает именно этот предмет; сравнение с другим селом — только по второй карточке.","Село Парахино, Касимовский уезд, конец XIX в.; Касимовский музей. Шерсть, бранное ткачество.",https://ar.culture.ru/ru/subject/poneva,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
04.02,Рогатая кичка: что скрывается под нарядным верхом,Зачем в женском головном уборе твёрдые рога?,Снять и вернуть слои подписанной схемы убора; рядом меняются силуэт и пояснение назначения частей. Прочитать связь убора с положением замужней женщины.,"Рязанская губерния, вторая половина XIX в.; РЭМ. Карточка описывает рогатую вставку и верхнюю сороку.",https://ar.culture.ru/ru/subject/kichka-rogataya,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
05.02,Швейка: деревянная помощница с иголкой,"Как шить двумя руками, если ткань всё время приходится держать?","Закрепить край ткани на схеме швейки. Переключение без фиксации / с фиксацией показывает, зачем нужен предмет; рядом — короткая демонстрация ручного шва.","Швейка середины XIX в.; Музейно-выставочный комплекс им. В. Ф. Мамонтова, экспозиция Урень-края. Место изготовления не указано.",https://ar.culture.ru/ru/subject/shveyka-15,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
06.02,Зыбка из Лашина: первое место ребёнка в доме,"Почему колыбель висит, а не стоит на полу?","Проследить крепления на схеме, показать направление мягкого качания и положение люльки в комнате. Отдельно раскрыть семейные представления, связанные с вещью.","Деревня Лашино, Московская губерния, середина XIX в.; музей Железнодорожного. Лубяные борта, верёвки и ремни.",https://ar.culture.ru/ru/subject/kolybel-5,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
07.02,Богородские кузнецы: медведь работает в паре с человеком,"Ни мотора, ни батарейки. Кто заставляет кузнецов стучать молотками?","Сдвигать две планки модели: персонажи поочерёдно ударяют молотками. Открыть соединения и понять, как резчик превратил наблюдение за трудом в игрушку.","Богородская деревянная игрушка «Кузнецы», конец XIX в., Русский музей, Д-286. Карточка объясняет устройство двух планок; указанную в ней губернию нужно сверить из-за расхождения с описанием места.",https://rusmuseumvrm.ru/data/collections/folk_art/d_286/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
08.02,Рукомойник: вода из подвешенного горшка,Крана нет. Как вымыть руки и не вылить сразу всю воду?,"Наклонять схему сосуда: струя появляется из носика, затем прекращается. Расположить лохань и увидеть бытовую систему умывания.","Даниловский уезд Ярославской губернии, конец XIX в.; Музей им. П. К. Шарапова. Глиняный рукомойник с ушками для подвеса.",https://ar.culture.ru/ru/subject/rukomoynik-konec-xix-veka,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
09.02,Коромысло: два ведра на одном плече,Почему два ведра могли быть удобнее одного?,Изменять условное наполнение двух вёдер. Схема равновесия показывает перекос и распределение нагрузки; перейти к фотографии предмета и рассказу о дороге за водой.,"Коромысло середины XX в., Россия; Ленский историко-краеведческий музей. Карточка подтверждает перенос вёдер; локальную историю владельца ещё найти.",https://ar.culture.ru/ru/subject/koromyslo-45,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
10.02,Дежа: деревянный дом для будущего хлеба,Дощечки прижаты обручами — почему эта кадушка подходит для теста?,"Раскрыть дежу на клёпки и обручи, затем собрать её. Последовательность от замеса до подъёма теста объясняет назначение сосуда и работу бондаря.","Корочанский уезд Курской губернии, конец XIX в.; Корочанский музей. Деревянная дежа для приготовления теста.",https://ar.culture.ru/ru/subject/dezha-derevyannaya,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
11.02,Ендова: большой сосуд для общей трапезы,У чаши широкий бок и слив. Как из неё угощали целую компанию?,"Рассмотреть край, слив и поверхность; построить предметную цепочку большой сосуд → малая посуда → гости. Открыть материал и следы изготовления.","Ендова XVI–XVII вв., Брянский краеведческий музей; красная медь и латунь, ковка, пайка, лужение. Место изготовления не указано.",https://ar.culture.ru/ru/subject/endova,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
12.02,"Маслобойка Арины Жук: вещь, пережившая десятилетия",Этой кадушкой пользовалась одна семья больше полувека. Что происходило внутри?,Двигать мутовку в схеме разреза; по этапам открываются изменения сливок. Рядом развернуть документированную историю семьи и долгой службы вещи.,"Стародубский район Брянской области, середина XX в.; Унечский музей. Маслобойка семьи Арины Семёновны Жук из деревни Покослово.",https://ar.culture.ru/ru/subject/masloboyka-85,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
13.02,Весы: как покупатель видел честную меру,Товар положили на чашу. Что должно появиться на другой стороне?,"Уравновесить товар подписанными гирями, затем рассмотреть клеймо на отдельном атрибутированном образце. Понять разницу между договорной мерой и проверенной.","Настольные весы конца XIX — начала XX в., изготовлены в Западной Европе; Санкт-Петербургский музей Хлеба. Включены как вещь бытового музейного контекста, не русское изобретение.",https://ar.culture.ru/ru/subject/vesy-3,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
16.02,Пять килограммов пряника: городецкие стерлядки,"Зачем вырезать рыб на доске, с которой получается огромный пряник?","Показать доску и вычисленный зеркальный оттиск, приблизить пару рыб. Переключить форму и результат: труд резчика превращается в съедобный подарок.","Г. И. Бахарев, Городец, 1930-е гг.; Городецкий музейный комплекс. Доска со стерлядками, по карточке — для пятикилограммового пряника; поступила в 2010 г. с производства.",https://ar.culture.ru/ru/subject/doska-shtuchnaya-sterlyadki,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
17.02,Коробейник: магазин приходит в деревню,"Ленты, иголки, пуговицы — как целая лавка помещалась на плечах?","Разложить документированные виды мелкого товара в условный короб и связать их с домашними занятиями. Посетитель открывает, как деревня получала покупные вещи.","Музейный обзор Белгородского музея народной культуры. «Коробейник» Г. В. Новикова — настенная роспись 2019 г., современное изображение прошлого.",https://ar.culture.ru/ru/subject/korobeynik,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
22.02,Поддужный колокольчик: услышать дорогу,"Лошадей ещё не видно, а об их приближении уже знают. Откуда идёт звон?","Найти место колокольчика под дугой, раскрыть язык и корпус. Сравнить подписанные записи двух образцов; без звука доступны схема и текст.","Ишимский музей: колокольчик конца XIX — начала XX в., отлит братьями Трошиными в селе Пурих Нижегородского края.",https://ar.culture.ru/ru/subject/podduzhnyy-kolokolchik-5,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
23.02,Дуга Ивана Осокина: имя на конской упряжи,Зачем крестьянин оставил своё имя на дуге?,"Приблизить надпись, восстановить чтение по музейной расшифровке и найти место вещи в упряжи. Увидеть связь полезной конструкции, украшения и хозяйской гордости.","Русский музей, Северная Двина, 1886 г. На ребре дуги указаны дата и владелец Иван Тимофеев Осокин.",https://ar.culture.ru/ru/subject/duga-1,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
25.02,Сеть готовят зимой: узел для будущей рыбалки,Озеро подо льдом — зачем сейчас работать над летними снастями?,Провести нить по одному сетному узлу и повторить ряд через мерку. Меняется размер ячеи; схема связывается с записью рук мастера.,Кижи: вязание сетей и рыболовство Заонежья. Исторический обзор подтверждает зимнее изготовление снастей самими рыбаками.,https://site.kizhi.karelia.ru/crafts/vyazanie-setej ; https://site.kizhi.karelia.ru/library/traditsionnaya-kultura-russkih-zaonezhya-spravochno-metodicheskoe-posobie-dlya-eksku/746.html,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
27.02,Лодка-кижанка: словарь мастера на воде,Что мастер называет кокорой — и где её искать в лодке?,"Сопоставить три местных названия с деталями подписанного чертежа. При выборе детали открываются её форма и место в конструкции, затем — лодка целиком.","Исследование «Лодка-кижанка», Кижский вестник, выпуск 13: местная конструкция и терминология. Экземпляр для будущей страницы пока не выбран.",https://site.kizhi.karelia.ru/library/kizhskij-vestnik-vyipusk-13-sbornik-statej/1089.html,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
28.02,Кружево продолжается: пелерина Любови Верещагиной,Как ремесло становится личным открытием человека нашего времени?,Сопоставить инструмент кружевницы и фрагмент авторской пелерины; раскрыть путь мастерицы к ремеслу. Сохранить карточку с одной выбранной деталью и собственным наблюдением.,"Пелерина Л. Н. Верещагиной, 2000 г.; Музейный центр «Гамаюн». Любовь Верещагина ранее работала оператором микросварки; карточка рассказывает о её пути к кружеву.",https://ar.culture.ru/ru/subject/pelerina,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
01.03,"Лоскутное одеяло: красота из того, что осталось","Можно ли из обрезков сшить вещь, которую будут беречь десятилетиями?","Сложить один блок из лоскутов по рисунку музейного одеяла; поворот детали меняет общий узор. Открыть целую вещь и увидеть, как бережливость становится мастерством.","Станица Гиагинская, 1960-е гг.; Гиагинский районный краеведческий музей, экспозиция «Казачья комната». Русская бытовая традиция Кубани; происхождение каждого лоскута неизвестно.",https://ar.culture.ru/ru/subject/odeyalo-loskutnoe-2,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
02.03,Трепало: деревянный клинок для будущей рубахи,"Зачем бить стебли деревянной лопаткой, если из них хотят получить мягкую ткань?","Провести трепалом по схеме подготовленного льна: кострика отделяется, волокна остаются. Сравнить материал до и после, понять назначение операции.","Трепало конца XIX в., Исетский музей им. А. Л. Емельянова. Музей связывает предмет мечевидной формы с семьёй старообрядцев Исетского района; версия о подарке невесте — предположение.",https://ar.culture.ru/ru/subject/trepalo-4,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
03.03,Чесало: семь рядов зубьев ради тонкой нити,"Как из одного пучка получались и грубая верёвка, и тонкое полотно?","Пропустить виртуальный пучок через зубья; отдельно показать длинное волокно и очёс. Сопоставить с будущими изделиями, не задавая выдуманных процентов выхода.","Конец XIX в., Новокузнецкий краеведческий музей. Доска с семью рядами кованых зубьев. Изготовление в европейской части России — музейная гипотеза; точное место неизвестно.",https://ar.culture.ru/ru/subject/chesalo-dlya-lna,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
04.03,Мотовило из Бурдиной: сосчитать нить без рулетки,"Как хозяйка понимала, хватит ли пряжи на целый холст?",Намотать несколько оборотов на схему мотовила; счётчик считает обороты. Затем открыть объяснение местного счёта нитей и будущей длины ткани.,"Деревня Бурдина, нынешний Абатский район Тюменской области; конец XIX — начало XX вв.; КДО «Исток». Музей описывает перемотку и первоначальный учёт пряжи.",https://ar.culture.ru/ru/subject/motovilo-2,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
05.03,Кросна на Устье: почему станку нужны педали,Нога нажала — между сотнями нитей появилась дорога. Как?,"Нажать две подножки по очереди: чётные и нечётные нити меняются местами, открывая зев. Посетитель видит, как ткачиха управляет основой.","Начало XX в.; Устьянский краеведческий музей. Карточка подробно описывает местные названия частей, подножки и ниченицы.",https://ar.culture.ru/ru/subject/tkackiy-stanok-1,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
06.03,"Ангарский челнок: лодочка, которая возит нить",Почему ткацкий инструмент похож на маленькую лодку?,"Открыть полость челнока и путь нити, провести его сквозь подготовленный зев. Увидеть, как катушка отдаёт уток, пока челнок пересекает основу.","XIX в., п. Мотыгино, Удерейский район — так указано в карточке Мотыгинского музея; экспозиция «Ангарская изба». Точное историческое административное название требует уточнения.",https://ar.culture.ru/ru/subject/tkackiy-chelnok-1,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
07.03,Марк Шабалин: швейная машина из дерева,Увидел фабричную машину — и вырезал свою. Разве так можно?,Приблизить деревянные детали и сопоставить их с функциями механизма. Выбрать путь движения от колеса к игле; после выбора открывается объяснение мастерства Шабалина.,"Марк Шабалин, 1888 г.; Государственный исторический музей Южного Урала. Музей связывает изготовление с восемнадцатилетним крестьянином Вятской губернии; материалы в шапке — дерево и металл.",https://ar.culture.ru/ru/subject/shveynaya-mashina-2,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
