@05|Май|Весенний двор, одежда и выход в большой мир
Косник: украшение на конце девичьей косы|Косник держится на конце девичьей косы. Маленькое украшение рассчитано на конкретное место: крепление объясняет форму не хуже узора.|Найти косник в музейном комплекте, развернуть увеличенную форму и связать способ крепления с местом в причёске.|collect|Одежда и возраст
Сорока: головной убор из нескольких частей|За названием «сорока» скрывается убор из нескольких частей. Каждый слой делает свою работу, прежде чем появится знакомый нарядный силуэт.|Собрать слои по описанию выбранного рязанского убора; после каждого шага увидеть его функцию.|collect|Региональный костюм
Нагрудное украшение: наряд звучит и движется|Подвесы нагрудного украшения видны сбоку и в движении. Наряд устроен объёмно: способ крепления хранит часть мастерского замысла.|Повернуть цифровую модель выбранного образца, найти подвесы и способ крепления; движение показать как реконструкцию.|collect|Украшения
Кумач: фабричная ткань входит в деревню|Покупной кумач входит в деревенскую одежду. Новый материал меняет поверхность привычной рубахи, сохраняя связь обновления с местным костюмом.|Сравнить фактуру домотканого полотна и кумача на подписанных образцах; составить карточку обновления гардероба.|costume|Деревня и город
Плис: нарядные штаны молодого парня|Плис придаёт нарядным штанам особую поверхность. Молодёжная мода читается в фактуре ткани, которую трудно заметить издали.|Провести виртуальную лупу по поверхности ткани, сопоставить её с комплектом из Калужской губернии.|costume|Молодёжная мода
Парочка: кофта и юбка как единый наряд|Кофта и юбка составляют «парочку». Новый силуэт входит в местный гардероб — история деревенской одежды продолжается через перемены кроя.|Сравнить музейный пинежский комплект с сарафанным; выделить изменения кроя и сохранить два силуэта рядом.|costume|Мода и изменения
Платок: один квадрат и разные способы ношения|Один квадратный платок можно сложить и надеть по-разному. Движение рук меняет силуэт вещи без единого нового шва.|Повторить по подписанным изображениям способы ношения; получить сравнение формы, не приписывая их всем русским женщинам.|costume|Одежда
Вознесение: праздник, который передвигается|Вознесение зависит от даты Пасхи и не закреплено за одним числом мая. Подвижный праздник показывает другой способ устроить годовой круг.|Передвинуть Пасху на условной ленте, увидеть положение Вознесения через сорок дней; открыть один подтверждённый русский обычай.|voznesenie/П|Народный календарь
Никола вешний: святой в хозяйственном году|Никола вешний входит в хозяйственный календарь разных мест. Один праздничный день связывает церковную память с конкретными занятиями людей.|Выбрать из музейного текста один местный сюжет; связать календарную дату с хозяйственным действием и картой места.|nikola-veshnij-nikolin-den-den-nikolaya-chudotvorca/К|Народный календарь
Сапожные гвозди: крепление, которое обычно не видно|Подошва прячет работу сапожника от первого взгляда. Гвозди и швы показывают, каким способом мастер удержал вместе части обуви.|Перевернуть выбранный сапог, найти шов и крепёж; сопоставить с поэтапной схемой изготовления.|R|Ремесло
Азбука в доме: буквы становятся семейным умением|Домашняя азбука превращает буквы в освоенное умение. Одна страница хранит путь от узнавания знака к слову, которое ребёнок читает сам.|Разобрать страницу выбранной старой азбуки и составить слово из её букв; рядом открыть современное чтение.|den-slavyanskoj-pismennosti-i-kultury-den-svyatyh-kirilla-i-mefodiya/К|Грамотность
Медный замок: как запирали дорогие вещи|Поворот ключа двигает скрытый запор. Медный замок соединяет небольшое движение руки с защитой вещей, которым хозяин отвёл особое место.|На условном разрезе повернуть ключ; увидеть движение запора и сопоставить конструкцию с музейной вещью.|R|Домашнее имущество
Кованая петля: тяжёлая дверь на двух опорах|Тяжёлая дверь держится на кованых петлях. Длинная металлическая полоса распределяет крепление — кузнечная работа остаётся в ежедневном движении створки.|На схеме перенести точку крепления; наблюдать наклон створки и узнать назначение длинной металлической полосы.|R|Кузнечное мастерство
Лавка у дома: место, где узнают новости|Лавка у дома собирает соседей. Простая скамья становится местом обмена новостями, когда люди задерживаются рядом и обращаются друг к другу.|На подписанном снимке отметить участников и направление взгляда; собрать короткую сцену только из документированных сведений.|R|Соседство
Семик: зелёные ветви в праздничном круге|Берёзовые ветви входят в семицкий обряд. Зелёный материал становится частью праздничного действия, порядок которого различается от места к месту.|Сопоставить музейное описание и изображение одного обряда; восстановить последовательность действий с ветвями.|semik-zelenye-svyatki/П|Народный календарь
Городецкий конь: движение, написанное кистью|Несколько изгибов кисти создают городецкого коня. Движение животного читается в силуэте ещё до появления мелких деталей нарядной росписи.|Выделить силуэт, затем добавить разрешённые для выбранного образца детали; сравнить собственный рисунок с работой мастера.|paint|Роспись
Мезенский ряд: ритм красного и чёрного|Красный и чёрный складываются в повторяющийся ряд. Мезенская роспись держит ритм узора: следующий элемент связан с уже написанными.|Найти повтор в орнаментальной полосе, продолжить ряд и открыть название элементов по музейному описанию.|paint|Роспись
Троица: дом встречает зелёное лето|На Троицу привычный дом получает зелёное убранство. Местный обычай делает праздник видимым внутри повседневного семейного пространства.|Наложить на схему дома подтверждённое для выбранного места убранство; открыть различие церковного праздника и местного обычая.|troica-den-svyatoj-troicy-pyatidesyatnica/П|Народный календарь
@06|Июнь|Детство, голоса и зелёное лето
Тряпичный мяч: игра начинается с того, что под рукой|Тряпичный мяч обходится без резины. Домашние материалы собираются в игрушку — игра начинается с умения придать форму тому, что под рукой.|Собрать условные слои мяча по выбранному музейному образцу; сравнить его форму и материалы с современным.|R|Детство
Земля-именинница: у труда бывает пауза|В народном представлении земля бывает именинницей. Отложенная работа в Духов день показывает обрядовую паузу внутри непрерывного сельского труда.|Выбрать действие из местного описания Духова дня; открыть его календарный и обрядовый контекст.|duhov-den-den-svyatogo-duha-zemlya-imeninnica/П|Народный календарь
Олёна-льняница: имя дня и будущая ткань|Имя Олёны-льняницы связывает посев с будущим полотном. Между летним полем и зимней рубахой лежит длинная цепь человеческой работы.|Соединить календарное имя с растением и конечной вещью; на ленте года увидеть длительность всего пути.|olna-lnyanica-den-svyatyh-konstantina-i-eleny/К|Народный календарь
Горелки: поймать момент, когда пара разбегается|В горелках пара разбегается, а водящему надо успеть отреагировать. Скорость работает вместе с вниманием к моменту начала движения.|Пройти один короткий раунд на схеме; после выбора получить разбор по выбранному варианту правил.|games|Подвижные игры
Лапта: успеть добежать и вернуться|В лапте удар открывает время для перебежки. Игрок соотносит свой старт с действиями соперников — командная игра требует общего расчёта.|Выбрать момент старта в условном игровом эпизоде; увидеть ответ команды соперников и объяснение решения.|games|Командная игра
Городки: пять чурок, множество фигур|Пять чурок складываются в разные фигуры городков. Материал остаётся прежним, но новое расположение меняет задачу для каждого броска.|Собрать две фигуры по музейной иллюстрации, наметить бросок и сравнить, какие части фигуры он затронет.|R|Игры
Салочки: маленькое изменение правил меняет игру|Граница площадки меняет игру в салочки. Договорённость участников становится действующим правилом, без которого один и тот же бег означает разное.|Передвинуть границу площадки на схеме и проиграть один эпизод; увидеть роль общего правила.|games|Детское сообщество
Считалка: выбрать водящего без спора|Считалка распределяет слоги между участниками и выбирает водящего. Ритм помогает группе начать игру с общего принятого порядка.|Проговорить выбранную записанную считалку по долям, распределить слоги между участниками и узнать её место записи.|games|Речь и игра
Самодельная кукла: костюм в ладони|Наряд самодельной куклы умещается в ладони. Игрушка способна сохранить детали взрослого местного костюма в масштабе детской игры.|Сопоставить музейную игровую куклу с одеждой той же местной традиции; найти три общие детали.|costume|Детство и костюм
Тимоня: ноги отвечают наигрышу|В Тимоне движение ног связано с наигрышем. Музыкальная опора становится телесным ритмом — услышанное продолжается в шаге танцующего.|Отметить опорные доли подписанного наигрыша; включить видео и сопоставить их с движением танцующих.|timonya|Музыка и движение
Карагод: круг не всегда движется одинаково|Карагод держится на согласованном движении людей. Общий круг складывается из отдельных шагов, которые участники соотносят друг с другом.|На схеме одной записанной пляски выбрать направление шага; увидеть согласованное движение группы.|timonya|Совместное участие
Плясовой ансамбль: инструменты разговаривают|Инструменты плясового ансамбля вступают в разное время. В общем звучании слышны ведущие и ответные движения музыкальной фразы.|На общей записи отметить вступления инструментов; отдельные партии включать только при наличии исходных дорожек.|timonya|Музыка
Фощеватово: песня сопровождает полотьё|В Фощеватове песня сопровождает полотьё. Напев сохраняет связь с конкретным сезонным делом, а не только с праздничным выступлением.|Сравнить подписанный сезонный припев с другим жанром той же традиции; отметить длину фраз и повтор.|fosh|Труд и песня
Лопатни: старые и новые песни в одном селе|В одном селе Лопатни живут песни разных слоёв репертуара. Соседство старого и нового показывает традицию, которая продолжает меняться.|Послушать два атрибутированных фрагмента разных слоёв репертуара; открыть время и обстоятельства записи.|lopatni|Живая традиция
Песни Осереди: длинная фраза держит слушателя|В песнях Осереди слово может закончиться раньше распева. Длинная музыкальная фраза раскрывает время, которое голос даёт одной строке.|Проследить текст и напев по общей ленте; отметить распев и услышать фразу повторно.|osered|Песенная культура
Скрипучее колесо колодца: поднять воду вместе|Рукоять колодезного ворота поднимает ведро из глубины. Поворот руки превращается в вертикальное движение тяжёлого запаса воды.|Повернуть условную рукоять и проследить движение ведра; сравнить устройство с выбранным документированным колодцем.|R|Хозяйство
Огородная гряда: еда начинается рядом с домом|Огород рядом с домом делят между разными культурами. За небольшими грядами стоит сезонный порядок ухода и будущего семейного стола.|По описанию конкретного хозяйства разложить культуры на схеме; получить сезонную карту ухода без агрономических нормативов.|food|Питание и труд
Репа: привычный овощ до картофельного стола|Репа возвращает знакомую сказку в хозяйственный мир. За большой сказочной работой стоит настоящий овощ и его место в домашней еде.|Сопоставить изображение растения с кухонным сюжетом; собрать путь от гряды к подаче по выбранному источнику.|food|Питание
Щавель и зелёный стол: сезон меняет обед|Сезонная зелень меняет состав обеда. Щавель показывает, как стол связан с появлением свежих растений, а не только с зимним запасом.|Сравнить два сезонных меню выбранной местности; подсветить свежие и заготовленные продукты.|food|Сезонная кухня
Рыболовный поплавок: маленькая вещь передаёт сигнал|Поплавок остаётся на поверхности и передаёт движение снасти. Маленькая вещь делает видимым то, что происходит под водой.|На условном разрезе изменить положение лески; связать движение поплавка с изменением натяжения.|R|Рыбная ловля
Фёдор Стратилат: наблюдать летнюю погоду|Народный календарь сохраняет наблюдения за летней погодой. Имя Фёдора Стратилата становится точкой сезонной памяти, а не гарантией прогноза.|Сопоставить народное наблюдение из музейного текста с фотографиями; отделить историческую примету от прогноза.|fdor-stratilat/К|Народный календарь
Рыбная мережа: вход легче выхода|У мережи вход устроен иначе, чем выход. Форма рыболовной снасти направляет движение — результат зависит от конструкции целого предмета.|Проследить условный путь внутри выбранной конструкции; открыть назначение входной воронки.|R|Рыбная ловля
Черпак в лодке: простая вещь для важного дела|Черпак убирает воду со дна лодки. Простая ручная вещь напоминает, что работа на воде включает постоянную заботу о самом судне.|Найти черпак среди вещей рыбака и показать его работу на условной схеме лодки.|R|Жизнь у воды
Окно с наличником: красота закрывает щель|Наличник украшает окно и закрывает стык. Красота резной детали соединена с устройством дома: узор занимает место конкретной строительной части.|Снять наличник со схемы, увидеть место стыка и вернуть его; приблизить резьбу выбранного образца.|R|Дом и мастерство
Ставни: у окна есть ещё одна одежда|Ставни дают окну дополнительное закрытие. Створки меняют вид фасада и повседневное обращение с границей между комнатой и улицей.|Переключить состояния выбранного окна; сравнить освещение и внешний рисунок фасада.|R|Дом
Акулина-гречишница: растение в имени дня|Гречиха вошла в народное имя Акулинина дня. Календарное название связывает растение с сезонным вниманием людей к будущему урожаю.|Сопоставить подписанные растения и семена; открыть народное имя дня и местный хозяйственный контекст.|akulina-grechishnica/К|Народный календарь
Гречневая крупа: маленькая трёхгранная форма|У гречневого зерна характерная трёхгранная форма. Знакомая крупа возвращает взгляд от тарелки к растению и обработке урожая.|Под лупой сравнить формы семян нескольких культур; собрать карточку будущего блюда.|food|Питание
Веерная кисть листьев: растительный узор в Жостово|Листья жостовской росписи собираются веерными движениями кисти. Растительный мотив держится на порядке мазков, а не на обводке готового контура.|Переместить главные цветы и листья на условном круге; сравнить равновесие со снимком мастерской работы.|paint|Роспись
Филимоновская свистулька: вытянутая глиняная фигура|Филимоновская свистулька вытягивает силуэт в глине. Местный почерк виден ещё до росписи — форму и звучание мастер создаёт вместе.|Сопоставить силуэты нескольких подписанных игрушек; выбрать характерную форму и рассмотреть её конструкцию.|craft|Игрушечное ремесло
Летнее письмо домой: новости помещаются на листе|Летние новости укладываются на одном листе. Домашнее письмо сохраняет личный голос человека, которому предстояло преодолеть расстояние словами.|На выбранном подлинном письме выделить приветствие, новости и просьбы; собрать краткую карту семейных связей.|R|Личная история
@07|Июль|Летний труд, вода и мастерство
Коса-горбуша: инструмент подсказывает движение|Изгиб косы-горбуши подсказывает движение косаря. Форма инструмента связана с работой тела, а не только с остротой металлического края.|Сопоставить музейную демонстрацию горбуши и другой косы; на схеме повторить траекторию, не предлагая тренировку с лезвием.|hay|Сенокос
Косовище: рукоять, которую подгоняют под человека|Косовище подгоняют под человека. Деревянная рукоять соединяет рост, хват и движение — удобство рождается из точного соответствия работнику.|На условной модели изменить положение хвата; сопоставить с движением демонстратора на записи.|hay|Сенокос
Брусок косаря: острота требует заботы|Брусок возвращает косе рабочую остроту. Покос требует заботы об инструменте: остановка для правки становится частью непрерывного труда.|Найти момент ухода за инструментом в музейном видео; связать его с последовательностью работы.|hay|Сенокос
Покос на неделю: что берут с собой|На долгий покос берут больше одной косы. Еда, одежда и рабочие вещи собирают повседневную жизнь там, где семье предстоит провести несколько дней.|Собрать по локальному описанию набор вещей для покоса; увидеть, кто и за что отвечает.|R|Сезонный труд
Сено на просушке: поспешность может испортить запас|Скошенная трава ещё не стала зимним запасом. Просушка требует времени и внимания — поспешность может перечеркнуть тяжёлую работу покоса.|Переставить стадии заготовки на условной ленте; открыть объяснение музейного демонстратора.|hay|Сенокос
Аграфена Купальница: банный обычай перед праздником|Банный обычай входит в день Аграфены Купальницы. Подготовка тела и домашние действия соединяются с местным порядком летнего праздника.|Рассмотреть принадлежности выбранного банного обычая; собрать последовательность только по локальному описанию.|agrafena-kupalnica-kupalwica/К|Народный календарь
Иван Купала: праздник и рассказ о чудесном цветке|Купальский рассказ обещает чудесный цветок. Предание открывает народное воображение и ожидание необычного, сохраняя отличие от ботанического факта.|Разнести фрагменты музейного рассказа по слоям: обряд, поверье, современная демонстрация; открыть пояснение каждого.|ivan-kupala-rozhdestvo-svyatogo-ioanna-krestitelya-ivanov-den/К|Предание и праздник
Семейный стол: кто кому приходится|За семейным столом видна сеть родства. Один человек оказывается для соседей сыном, супругом или дядей — связь зависит от точки отсчёта.|Построить схему родства по выбранному семейному свидетельству; подсветить связь каждого участника с рассказчиком.|vserossijskij-den-semi-lyubvi-i-vernosti/К|Семья
Сеновал: запас над хозяйственным двором|Сено хранят над хозяйственным двором. Запас занимает верхний ярус дома и связывает устройство постройки с годовым ритмом ухода за животными.|На схеме выбранного дома найти путь сена наверх; сопоставить хранение с устройством двора.|R|Дом и хозяйство
Летняя артель: большое дело делят на части|Артель делит большое дело между людьми. Общий результат складывается из разных ролей, согласованности действий и принятого порядка работы.|Распределить роли по документированному описанию совместной работы; увидеть, где возникает ожидание.|R|Взаимопомощь
Обед в поле: еда путешествует к работникам|Полевой обед должен добраться до работников. Сосуды и переноска становятся частью питания — домашняя еда получает собственный маршрут.|Собрать дорожный набор по музейному описанию; объяснить выбор вместительной и переносной посуды.|R|Труд и питание
Петров день: лето меняет ритм работ|Петров день отмечает перемену летнего хозяйственного ритма. Праздник включён в местный год работ, который не сводится к одной общей схеме.|Соединить дату с подтверждённой современной музейной демонстрацией; отдельно открыть историческое описание праздника.|petrov-den-den-apostolov-petra-i-pavla/К|Народный календарь
Вёсла: движение лодки зависит от согласия|Два весла должны работать согласованно. Направление лодки зависит от соотношения движений — совместное усилие требует общего ритма.|Задать ритм двум условным вёслам; увидеть поворот лодки и добиться прямого движения.|R|Жизнь у воды
Якорный камень: тяжесть удерживает лодку|Тяжёлый камень удерживает лодку через привязанную снасть. Природный материал получает новое назначение в продуманном рыбацком устройстве.|Рассмотреть выбранное грузило, показать крепление и проследить условную связь лодки с дном.|R|Рыбацкий быт
Ольга Семёнова: коллекция начинается со встречи|Коллекция Ольги Семёновой начинается со встреч с людьми и вещами. За музейным собранием стоит личная работа узнавания и сохранения.|Соединить место, собирательницу и описание коллекции; собрать паспорт одной подтверждённой записи.|collect|Люди музея
Полевой блокнот: записать то, что легко забыть|Полевой блокнот удерживает то, что легко забыть после встречи. Имя, место и обстоятельства записи помогают вещи сохранить человеческий контекст.|Заполнить карточку по выбранному документу: кто, где, когда и что сообщил; увидеть, каких сведений не хватает.|den-etnografa|Память и исследование
Рыбацкая игла: сеть требует починки|Рыбацкая игла проводит нить через ячейки сети. Починка возвращает снасти рабочую форму — добыча начинается с терпеливого ручного ремонта.|На увеличенной условной схеме провести нить через повреждённое место; сравнить восстановленную ячейку с соседними.|R|Ремонт и забота
Садок: улов остаётся в воде|Садок оставляет пойманную рыбу в воде. Устройство продолжает работу рыбака после ловли, удерживая улов в отдельном пространстве.|Сопоставить форму выбранного садка с его размещением у лодки; открыть музейное объяснение назначения.|R|Рыболовство
Дымарь: инструмент пасечника в работе|Дымарь входит в набор пасечника. Форма прибора и направленный выход дыма показывают, как инструмент подчинён конкретной работе с ульем.|На подписанной демонстрации найти инструмент и этап его применения; показать культурную практику без инструкции по работе с пчёлами.|R|Пчеловодство
Улей-колода: жильё пчёл в стволе|Ствол дерева становится ульем-колодой. Человек использует природную форму, превращая её в часть устроенного пчелиного хозяйства.|Повернуть модель выбранной колоды; найти леток и место доступа по музейному описанию.|R|Пчеловодство
Рамочный улей: деталь, которую можно вынуть|Рамку можно вынуть из улья отдельно. Съёмная деталь меняет доступ к внутреннему устройству — работа пасечника получает новую возможность.|Сопоставить схемы двух документированных типов ульев; вынуть условную рамку и увидеть различие устройства.|R|Изменения быта
Лыковая верёвка: прочность из тонких волокон|Тонкое лыко собирается в прочную верёвку. Скручивание связывает отдельные волокна: запас прочности рождается из их совместной работы.|Скрутить условные пряди на схеме и сравнить направление витков; привязать показ к выбранной ремесленной записи.|R|Материалы
Рогожа: грубое полотно тоже требует умения|Грубая рогожа тоже требует ткацкого умения. Польза прочного полотна держится на порядке переплетения, даже когда вещь не называют нарядной.|Найти документированные хозяйственные применения рогожи; сопоставить крупное переплетение с назначением.|R|Хозяйственные материалы
Хохломская ложка: золотой цвет без золотой заготовки|Хохломская ложка сияет золотым цветом, оставаясь деревянной. Отделка меняет вид материала — мастерство скрыто под знакомым праздничным блеском.|Переключать слои технологической схемы по описанию промысла; сравнить заготовку и готовую поверхность.|paint|Роспись
Гжельский мазок: один цвет, много оттенков|Один синий цвет даёт множество оттенков гжельского мазка. Нажим и движение кисти превращают ограниченную палитру в объёмный рисунок.|Провести условной кистью с разным нажимом; сравнить результат с увеличенным мазком мастера.|paint|Керамика
Дымковская барышня: круги превращаются в наряд|Круги и полосы становятся нарядом дымковской барышни. Простой элемент работает вместе с формой фигурки и ритмом всей росписи.|Составить ритм крупных пятен на условной фигуре; сравнить его с выбранной подписанной игрушкой.|craft|Игрушечное ремесло
Каргопольский Полкан: необычный герой из глины|Каргопольский Полкан соединяет необычные черты в глиняной фигуре. Местная игрушка хранит собственный образ героя, узнаваемый по силуэту.|Повернуть изображение выбранной игрушки; выделить части фигуры и открыть атрибуцию, не сочиняя древнего значения.|craft|Игрушка и образ
Полхов-Майдан: цветок на округлой поверхности|Цветок Полховского Майдана ложится на округлую поверхность. Роспись рассчитана на объём: рисунок продолжается за пределами одного взгляда.|Обернуть условный цветочный узор вокруг деревянной формы; сопоставить результат с работой выбранного мастера.|craft|Роспись
Семёновская матрёшка: размер подчиняет всю семью|Матрёшки должны войти одна в другую. Размер каждой фигурки связан с соседними — точность токарной работы удерживает расписную семью вместе.|Упорядочить условные половинки по размеру; увидеть роль толщины стенки и затем рассмотреть реальный набор.|craft|Деревянная игрушка
Берестяной шаркунок: звук спрятан внутри|Внутри берестяного шаркунка спрятан источник звука. Переплетённая оболочка превращает движение руки в слышимый ответ маленькой игрушки.|Сопоставить звук с условным разрезом; открыть материал наполнителя только по карточке выбранного образца.|R|Детство и звук
След ладони мастера: почему вещи немного различаются|Ручные вещи немного различаются даже в одном ряду. След инструмента и ладони сохраняет решения мастера, которые не повторяются совершенно одинаково.|Сравнить две атрибутированные работы одного промысла; отметить небольшие различия формы и сохранить собственную находку.|craft|Живое мастерство
@08|Август|Урожай, запасы и цена человеческого труда
Серп: жатва начинается с одной горсти стеблей|Серп работает с горстью стеблей, удержанной рукой. Жатва складывается из множества повторённых движений — урожай собирают в человеческом масштабе.|Проследить на музейной записи движение жницы; на условной схеме выделить рабочую часть серпа.|R|Жатва
Ильин день: лето в народном рассказе|Ильин день входит в народный рассказ о перемене лета. Календарная память соединяет праздник с сезонными наблюдениями, не превращая их в прогноз.|Сопоставить разные мотивы музейного описания; отделить хозяйственные наблюдения от поверий.|ilin-den/К|Народный календарь
Сноп: урожай получает переносную форму|Сноп придаёт срезанным стеблям переносную форму. Урожай становится отдельной связкой, которую можно поднять, поставить и перевезти.|Собрать условный сноп и выбрать место перевязи по документированной схеме; увидеть устойчивую форму.|R|Жатва
Перевясло: крепление из самого урожая|Перевясло делают из самого растительного материала. Часть урожая удерживает другую часть — простое крепление рождается прямо во время работы.|Рассмотреть местный способ перевязки снопа; повторить его на условных полосах и открыть термин.|R|Материалы и труд
Жнивная рубаха: одежда для тяжёлой поры|Жнивная рубаха принадлежит тяжёлой поре полевых работ. Крой и материал помогают увидеть связь одежды с движением и сезонной нагрузкой.|Сопоставить выбранную жатвенную рубаху с комплектом той же традиции; найти особенности по музейной подписи.|R|Труд и одежда
Дети в поле: семейный труд имеет много ролей|В семейной работе на поле было несколько ролей. Детское участие требует увидеть конкретное занятие, а не переносить взрослый труд на всех одинаково.|На документированном описании полевого дня восстановить роли членов семьи; не добавлять вымышленных биографий.|R|Семья и труд
Последние колосья: что оставляют на поле|Последние колосья могли оставлять для обрядового действия. Завершение жатвы получало местный смысл, который не сводится к уборке остатка урожая.|По сцене РЭМ восстановить действия обряда «бородки»; открыть его как историческое поверье конкретного описания.|R|Обряды урожая
Цеп: зерно отделяется ударами|Цеп отделяет зерно ударами по снопам. Подвижное соединение деревянных частей превращает замах человека в работу другого конца орудия.|Привести в движение условную схему цепа; увидеть назначение соединения и сопоставить с музейной демонстрацией.|R|Обмолот
Ток: рабочая площадка для урожая|Ток — отдельная площадка для работы с урожаем. Расположение снопов и действий показывает, что обмолоту нужен организованный простор.|Разместить операции обмолота на схеме выбранного хозяйства; проследить путь зерна и соломы.|R|Хозяйство
Овин: снопы готовят к обмолоту|В овине снопы готовят к обмолоту. Урожай проходит дополнительный этап обработки, прежде чем зерно отделят от стеблей.|Рассмотреть документированную схему овина; связать зоны сушки и размещения снопов без инструкций по топке.|R|Хозяйственные постройки
Веялка: воздух помогает разделить урожай|Воздух помогает отделить зерно от лёгких примесей. Веялка использует различие материала — невидимый поток становится рабочей силой.|Запустить условный поток над смесью зерна и мякины; сравнить траектории и открыть историческое приспособление.|R|Обработка урожая
Сусек: запасу нужно своё место|В сусеке зерну отводят отдельное место. Домашний запас требует границ и порядка, чтобы результат одного сезона служил семье дальше.|На схеме выбранного амбара найти отдельные закрома; распределить культуры и объяснить роль разделения.|R|Запасы
Медовый сот: природный порядок в хозяйстве|Медовый сот приносит природную структуру в хозяйство человека. Пасечный труд начинается с внимания к тому, что создают сами пчёлы.|Под лупой рассмотреть подписанный сот и пасечную принадлежность; связать их с музейным рассказом о пчеловодстве.|R|Пчеловодство
Медовый Спас: продукт становится праздничным даром|На Медовый Спас продукт пасеки становится праздничным даром. Работа с пчёлами входит в годовой круг встреч, угощения и благодарности.|Сопоставить пасечную работу и описание праздника; выделить подтверждённые обрядовые действия.|pervyj-spas-medovyj/К|Народный календарь
Воск: второй дар пасеки|Пасека даёт не только мёд, но и воск. Один хозяйственный мир снабжает человека разными материалами, каждому из которых находится своё применение.|Соединить образец воска с документированными бытовыми применениями; показать путь к одной выбранной вещи.|R|Материал и быт
Мочёные яблоки: урожай меняет вкус во времени|Мочёные яблоки меняют вкус во время хранения. Заготовка превращает летний плод в другой опыт домашней еды, доступный после сбора урожая.|На историческом описании разложить этапы заготовки; показать культурный способ хранения без современных пищевых рекомендаций.|food|Заготовки
Сушёные грибы: лесной урожай становится лёгким|При сушке грибы становятся легче и занимают меньше места. Лесной сбор получает форму запаса — результат сохраняют отдельной домашней работой.|Сопоставить изображения до и после, подобрать историческую тару по источнику; открыть место грибов в питании.|food|Лес и кухня
Ягодное лукошко: бережно донести хрупкий сбор|Ягодное лукошко должно донести хрупкий сбор. Плетёная форма рассчитана на содержимое: труд собирателя продолжается дорогой домой.|Сравнить два выбранных образца тары; на условной схеме показать размещение хрупкого груза.|R|Собирательство
