date,title,hook,mechanic,evidence,source_urls,source_ids,theme,date_type,date_reason,preparation,editorial_dependency,broad_122,production_ready
11.01,Сани-ходок: выйти в свет на полозьях,"Бархатное сиденье, бахрома, меховой полог. Зачем саням столько наряда?","Поворачивать цифровой вид саней, поочерёдно открывая сиденье, полозья и полог. Снарядить пассажира для зимней поездки и увидеть связь удобства и представительности.","Сани-ходок конца XIX — начала XX в.; собрание Музея Ф. М. Решетникова, Екатеринбург. Место изготовления в карточке не приведено; хранение не выдаётся за происхождение.",https://ar.culture.ru/ru/subject/hodok-starinnaya-povozka-na-polozyah,sleigh,Дорога и городской быт,У,зимняя дорога и гулянье,Есть атрибуция и описание; для вращения нужны дополнительные ракурсы либо подписанная схема.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
12.01,Парень в картузе: мода пришла в деревню,"Кумачовая рубаха, жилет и картуз: что выдавало деревенского модника?","Сопоставить два атрибутированных мужских комплекта; включать слой покупных тканей и новых деталей. Увидеть, как торговля и городская мода меняли деревенский наряд.",Калужская губерния; костюм парня брачного возраста описан в альбоме РЭМ. Основной массив альбома: середина XIX — первая треть XX в.; датировки отдельных вещей уточнить.,https://collection.ethnomuseum.ru/entity/ARTICLE/2311,costume,Одежда и взросление,У,одежда для встречи и гулянья,Выбрать предметы именно названного комплекса; не соединять вещи разных губерний в один «правильный костюм».,Запись/альбом/описание; проверить локальность и пригодность,False,False
13.01,Кольцо под блюдом: о чём спрашивали будущее,"Кольцо вытаскивают наугад, а смысл даёт песня. О чём девушки хотели узнать?",Сопоставить предмет из блюда с документированным песенным сюжетом и жизненным ожиданием. Меняется объяснение обряда; личное предсказание посетителю не создаётся.,"РЭМ описывает подблюдные гадания в канун Васильева дня: вещи участников, закрытое блюдо и песни. Это свидетельство поверий; локальный песенный текст ещё выбрать.",https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot8/,vasil,Обряд и взросление,К,"Васильев вечер, 13 января","Нужен конкретный местный текст и его запись. Сценарий исследует обычай, не обещает предсказать судьбу.",Запись/альбом/описание; проверить локальность и пригодность,False,False
14.01,Васильев день: посев среди зимы,"На улице снег, а зерно разбрасывают прямо в доме. Какого урожая здесь ждут?","Соединить зерно, поздравительный обход и будущий хлеб в движущейся схеме. Действие раскрывает пожелание достатка; виртуальный урожай не изображает реальное действие обряда.","РЭМ: утреннее посевание на Васильев день, зёрна злаков, поздравления и ответные дары. 14 января соответствует 1 января юлианского календаря в XX–XXI вв.",https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot8/,vasil,Праздник и земледельческий год,К,"Васильев день, 14 января",Локализовать один вариант обряда; не называть бытовую традицию магическим фактом.,Запись/альбом/описание; проверить локальность и пригодность,False,False
15.01,"Ряженые: сосед, которого нельзя узнать","Тулуп вывернут, лицо скрыто. Почему знакомый человек должен был стать неузнаваемым?",Менять детали ряженья на подписанной реконструкции: силуэт и облик постепенно скрывают привычного человека. Объяснение связывает маску с особым временем праздника.,"РЭМ, цикл И. И. Шангиной: маски, вывернутые тулупы, святочные игрища и временное изменение норм поведения. Региональный вариант пока не выбран.",https://ethnomuseum.ru/collections/podkasty/shangina/,holidays,Праздник и совместная игра,У,вторая неделя Святок,Подобрать историческое изображение из конкретной местности; не собирать фантазийную маску из несвязанных традиций.,Запись/альбом/описание; проверить локальность и пригодность,False,False
16.01,Коруна: крестьянская девушка в жемчужном венце,Драгоценный венец — у деревенской девушки. Как его делали и когда надевали?,"Раскрыть головной убор по слоям: основа, шитьё, украшения. При добавлении слоя меняется вид; посетитель понимает труд, скрытый за праздничным блеском.","Русские Заонежья и Пудожья; музей «Кижи» описывает коруну и местные названия «козырёк», «жемчуга». Для дня выбирается русский вариант, не весь многоэтничный ряд.",https://site.kizhi.karelia.ru/crafts/izgotovlenie-koronyi,koruna,Одежда и мастерство,У,праздничный девичий наряд,Нужен конкретный русский экспонат с датой и историей бытования; современные материалы реконструкции обозначить отдельно.,Запись/альбом/описание; проверить локальность и пригодность,False,False
17.01,Парадная зала: деревенский дом встречает город,За бревенчатыми стенами — парадная зала. Как деревенская семья показывала связь с Петербургом?,Сравнить зимнюю избу и залу; по вещам раскрывать повседневные занятия и приём гостей. Смена комнаты показывает разные стороны жизни состоятельной семьи.,"Русские Заонежья, дом Ошевнева. «Кижи»: зала — музейная реконструкция образа состоятельной семьи с торговыми и родственными связями с Петербургом; открыта в 2016 г.",https://site.kizhi.karelia.ru/info/about/pressrelease/2016/10254.html,room,Гостеприимство и обмен,У,зимнее гостевание,Не называть всю обстановку личными вещами Ошевневых. Нужны разрешённые изображения двух помещений.,Запись/альбом/описание; проверить локальность и пригодность,False,False
18.01,Крещенский сочельник: вещи для особой воды,"Крест, ковш и ведро встретились на одной выставке. Что связывает их с зимним праздником?","Проследить путь воды от водосвятия к дому и рассмотреть назначение предметов на каждом участке. Изменяется предметная схема, раскрывая подготовку к празднику.",РЭМ: выставка о крещенской воде включает крест и утварь для воды. Этнокалендарь подтверждает подготовку и водосвятие в сочельник; атрибуции конкретных сосудов уточнить.,https://ethnomuseum.ru/events1/exhibitions/past/vystavka-krewenskij-sneg-krewenskaya-voda/ ; https://ethnomuseum.ru/collections/ethnocalendar/january/kresch/,waterthings ; baptism,Праздник и предметный быт,К,"канун Крещения, 18 января","Нужны каталожные карточки выбранной утвари; веру в свойства воды описывать как веру, не медицинское свойство.",Запись/альбом/описание; проверить локальность и пригодность,False,False
19.01,Иордань: когда вся деревня шла к воде,Почему зимняя прорубь получила имя далёкой реки?,"Раскрыть на историческом изображении место водосвятия, участников и предметы. Схема связывает название «иордань», евангельский сюжет и местный праздничный обычай.","РЭМ: прорубь-иордань и общественное водосвятие; Крещение завершает Святки. Источник обзорный, конкретную местную фотографию и её дату ещё подобрать.",https://ethnomuseum.ru/collections/ethnocalendar/january/kresch/,baptism,Вера и община,К,"Крещение, 19 января",Выбрать фотографию или рисунок с атрибуцией. Обряд объясняется без соревнования и инструкции по зимнему купанию.,Запись/альбом/описание; проверить локальность и пригодность,False,False
20.01,"Прялка, на которой поместилась семья","Семья пьёт чай, рядом колокольня и двуглавый орёл. Зачем всё это вырезали на прялке?","Приближать резьбу и находить сцены; затем отойти к целому предмету. Посетитель соединяет рабочую вещь с миром её создателя, отделяя увиденное от догадки.","РЭМ 468-1: первая половина XIX в.; Новгородская губерния по документации, ярославско-костромской тип «терем». Вырезана из цельного куска дерева; жанровые сцены описаны музеем.",https://collection.ethnomuseum.ru/entity/OBJECT/303042,distaff,Мастерство и семейная жизнь,У,зимнее рукоделие,Не придумывать имена семьи на резьбе. Есть карточка; качество изображений для глубокого приближения ещё проверить.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
21.01,Как из кудели появляется нить,Прялка стоит неподвижно. Что же на самом деле превращает волокно в нить?,Управлять вытягиванием пряди и вращением веретена в учебной анимации. По изменениям скрутки понять разные задачи прялки и веретена.,"Олонецкая губерния; «Кижи» описывают крепление кудели, вытягивание волокна и скручивание веретеном. Для русского сценария выбирается пример Заонежья.",https://site.kizhi.karelia.ru/crafts/pryadenie,spin,Труд и материал,У,зимнее прядение,Нужна проверенная демонстрация русской местной техники. Не обещать физически точную модель прочности нити.,Запись/альбом/описание; проверить локальность и пригодность,False,False
22.01,Рубель: разгладить без горячего утюга,Эта ребристая доска не стирает. Как она расправляет жёсткое бельё?,Намотать виртуальную ткань на скалку и прокатить рубель. Анимация показывает действие рёбер и нажима; результат связывает форму вещи с трудом хозяйки.,"Рубель начала XX в., Музей Ф. М. Решетникова, Екатеринбург. Карточка описывает накручивание белья на скалку и прокатывание; точное место изготовления не указано.",https://ar.culture.ru/ru/subject/rubel-38,rubel,Домашний труд,У,домашняя работа зимой,Есть музейный предмет и описание; нужна запись операции. Не смешивать рубель с вальком для выколачивания белья.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
23.01,Пояс: узор рождается между нитями,"Поднял дощечку, опустил — и нити поменялись местами. Как из этого получается пояс?","Поднимать и опускать бёрдышко, проводить челнок. На экране растёт короткий образец пояса; посетитель видит, как переплетение образует тканую полосу.","Русские Заонежья и Пудожья; «Кижи» прямо называют эти группы среди носителей ткачества на бёрдышке. Описаны отверстия, прорези и образование зева.",https://site.kizhi.karelia.ru/crafts/tkachestvo-poyasov-na-byordyishke,belt,Мастерство и одежда,У,зимнее рукоделие и одежда,Выбрать узор с музейного образца. Значение орнамента не выводить из его геометрии.,Запись/альбом/описание; проверить локальность и пригодность,False,False
24.01,"Понёва: клетка, по которой различали наряды",Перед нами русские женские наряды — а привычного сарафана нет. Что рассказывает клетчатая понёва?,"Сопоставить комплексы двух названных сёл, открыть крой и клетку понёв. Сравнение показывает местные различия без игры в угадывание происхождения человека.",РЭМ: комплексы с понёвой из с. Нижняя Ведуга Воронежской губ. и с. Свинушки Рязанской губ. Альбом подтверждает местные различия; даты выбранных вещей уточнить.,https://collection.ethnomuseum.ru/entity/ARTICLE/2311,costume,Региональные традиции,У,региональная одежда,Проверить карточки двух понёв. Не приписывать узору единый тайный код для всех русских.,Запись/альбом/описание; проверить локальность и пригодность,False,False
25.01,Татьянин день: город становится студенческим,Университетский праздник вышел на московские улицы. Что делало чужих людей «старыми студентами»?,"Двигаться по документированному маршруту праздничного дня: университет, встреча выпускников, гулянье. Из свидетельств собрать историю студенческого сообщества.","Москва, XIX–XX вв.; летопись МГУ и календарь РЭМ. 25 января — современная дата праздника; 12 января 1755 г. старого стиля при историческом пересчёте — 23 января.",https://letopis.msu.ru/content/tatyanin-den ; https://ethnomuseum.ru/collections/ethnocalendar/january/tatyanin-den/,student ; studentdate,Город и сообщество,К,"студенческий праздник, 25 января",Отделить дату основания от современной даты празднования; выбрать свидетельство для каждого места маршрута.,Запись/альбом/описание; проверить локальность и пригодность,False,False
26.01,Самовар: горячая вода собирает гостей,"Вода окружает огонь, но не гасит его. Что спрятано внутри самовара?","Открыть разрез угольного самовара и проследить путь тепла к воде, затем перейти к сервировке. Устройство вещи связывается с совместным чаепитием.",Тула; музей «Тульские самовары» объясняет устройство настоящего угольного самовара через демонстрацию. Исторический экспонат и датировку для календаря ещё выбрать.,https://museum-tula.ru/muzei/muzej-samovar/afisha/14568/,tea,Гостеприимство и городской быт,У,зимнее чаепитие,"Нужен один самовар с карточкой и запись демонстрации. Анонс мастер-класса подтверждает тему, а не все детали будущей тепловой модели.",Запись/альбом/описание; проверить локальность и пригодность,False,False
27.01,Кужонка: корзина из берёзовой коры,"Кору сняли летом, а зимой из неё делают домашнюю утварь. Как ленты держатся без ткани?",Переплести берестяные ленты и поднять стенки виртуальной корзины. При изменении порядка лент меняется соединение; посетитель понимает устройство плетёной вещи.,"Русские Заонежья; «Кижи»: кужонки — распространённые корзины без ручек для муки, яиц и круп. Бересту заготавливали в начале лета, работу начинали после полевого сезона.",https://site.kizhi.karelia.ru/crafts/berestopletenie,bark,Труд и природа,У,зимняя работа с заготовленным материалом,Нужны атрибутированная кужонка и запись плетения; не переносить свойства цельного туеса на любую плетёную корзину.,Запись/альбом/описание; проверить локальность и пригодность,False,False
28.01,Деревянный конь: игрушка выходит из полена,Несколько зарубок — и в куске дерева уже виден конь. Как мастер замечает его раньше нас?,"Снимать слои в цифровой заготовке, сверяясь с этапами работы резчика. Появляется силуэт игрушки; посетитель видит переход от общего объёма к детали.","Северная русская игрушка конца XIX — начала XX в. в репликах Д. Н. Москина, описанных музеем «Кижи». Современная копия не объявляется старинным оригиналом.",https://site.kizhi.karelia.ru/crafts/izgotovlenie-derevyannoj-igrushki,toy,Детство и мастерство,У,зимний семейный досуг,Выбрать конкретного коня с указанием прототипа и автора копии. Нужны кадры работы; не приписывать всем игрушкам одинаковый обрядовый смысл.,Запись/альбом/описание; проверить локальность и пригодность,False,False
29.01,"Семейские: память, которую поют вместе",Дом можно перевезти только по брёвнышку. А как переселенцы увезли с собой общий голос?,"Слушать подписанный фрагмент и следить по тексту за вступлениями участников. Карта связывает певцов и место записи; посетитель слышит, как сообщество сохраняет память.",Русские старообрядцы-семейские Забайкалья; фильм и описание культурного пространства на Культура.РФ. Традиция показана в современном бытовании; конкретную запись ещё выбрать.,https://www.culture.ru/live/movies/846/kulturnoe-prostranstvo-i-pesennoe-tvorchestvo-semeiskikh-zabaikalya ; https://www.culture.ru/institutes/10073/kulturnoe-prostranstvo-i-pesennoe-tvorchestvo-semeiskikh-zabaikalya,song ; semeiskie,"Речь, музыка и переселение",У,зимняя встреча; не дата возникновения традиции,"Нужны имена исполнителей, село, дата, разрешение и расшифровка. Поканальное выключение голосов не обещается без отдельных дорожек.",Запись/альбом/описание; проверить локальность и пригодность,False,False
30.01,Семейский сундук: цветы среди зимы,"Снаружи мороз, а на сундуке цветут яркие букеты. Как роспись меняла домашний мир?","Рассмотреть местный образец, выделить палитру и повторяющиеся элементы, затем составить свою композицию. Сравнение показывает связь авторской работы с традицией.","Семейские Забайкалья, Тарбагатайский район. Дом ремёсел: занятие Ю. А. Пластининой по росписи сундуков, 2021 г. Исторический сундук для сопоставления пока не выбран.",https://www.culture.ru/events/1211708/starinnyi-sunduchok,chest,Живая традиция и дом,У,домашняя вещь и живая традиция,Нужны исторический образец и современная работа с датами. Не приписывать каждому цветку значение оберега.,Запись/альбом/описание; проверить локальность и пригодность,False,False
31.01,От нити к половичку: мастерство продолжается,За месяц мы разобрали столько вещей. Сможешь теперь увидеть труд за обычной полоской ткани?,На образце полотняного переплетения провести несколько рядов и увидеть растущую полоску. Затем сравнить свой фрагмент с работой мастера и сохранить карточку открытия.,Музей «Кижи»: ткачество в быту Олонецкой губернии и современные демонстрации. Январь — редакционная дата знакомства: источник относит традиционное основное ткачество к Великому посту.,https://site.kizhi.karelia.ru/crafts/tkachestvo,weave,Живая традиция и труд,У,итог зимнего месяца; связь с живой традицией,"Нужен русский местный образец и подписанная запись мастера. Этот день не утверждает, что во всех деревнях ткали именно в январе.",Запись/альбом/описание; проверить локальность и пригодность,False,False
01.02,Набойная доска: напечатать ткань вручную,Одна деревянная доска — а узором можно покрыть целый сарафан. Как?,"Поставить оттиск, сдвинуть доску и совместить повтор рисунка. При неверном шаге узор разрывается; при совпадении складывается полоса ткани.","Россия, XIX в.; Всероссийский музей декоративного искусства, набойная доска. Место точнее страны не указано; карточка объясняет печать по холсту.",https://ar.culture.ru/ru/subject/naboynaya-doska-3,print,Мастерство и ткань,У,зимняя тематическая привязка,Нужны фронтальный снимок доски и соответствующий ей рисунок оттиска; цифровой оттиск обозначить как схему.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
02.02,Калязинские коклюшки: как нити становятся кружевом,Десятки деревянных палочек — как не запутать нити?,Пошагово провести две пары нитей по одному элементу сколка; подсветка показывает возникшее переплетение. Затем открыть работу кружевницы и целое кружево.,"Коклюшки XIX в., Тверская губерния; Музей тверского быта. Обзор описывает зимний сезон работы калязинских мещанок.",https://ar.culture.ru/ru/subject/koklyushki-dlya-kruzhevopleteniya,lace,Городское ремесло,У,зимняя тематическая привязка,Подобрать калязинский сколок и запись рук мастерицы. Не выдавать упражнение за освоение ремесла.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
03.02,Понева из Парахина: клетка рассказывает о месте,Почему эту одежду узнают по клетке — и почему она не похожа на сарафан?,"Рассмотреть ткань, развернуть схему полотнищ и собрать распашную форму. Увидеть, что сообщает именно этот предмет; сравнение с другим селом — только по второй карточке.","Село Парахино, Касимовский уезд, конец XIX в.; Касимовский музей. Шерсть, бранное ткачество.",https://ar.culture.ru/ru/subject/poneva,poneva,Южнорусская одежда,У,зимняя тематическая привязка,Подготовить схему кроя по предмету. Не определять происхождение человека по любому клетчатому узору.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
04.02,Рогатая кичка: что скрывается под нарядным верхом,Зачем в женском головном уборе твёрдые рога?,Снять и вернуть слои подписанной схемы убора; рядом меняются силуэт и пояснение назначения частей. Прочитать связь убора с положением замужней женщины.,"Рязанская губерния, вторая половина XIX в.; РЭМ. Карточка описывает рогатую вставку и верхнюю сороку.",https://ar.culture.ru/ru/subject/kichka-rogataya,kichka,Одежда и семейный статус,У,зимняя тематическая привязка,Уточнить конструкцию именно этой кички; не подменять местный вариант сборной фантазией.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
