Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
11.09;"Жестяная коробка: покупка получает вторую жизнь. [У] Редакционное размещение; не историческая дата возникновения.";Жестяная коробка остаётся после покупки. Упаковка получает вторую домашнюю жизнь — её содержимое меняется, а след прежнего товара сохраняется.;"Сопоставить товарную функцию коробки и документированное домашнее применение; сохранить две подписи к одной вещи.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
12.09;"Копилка: маленькие деньги превращаются в план. [У] Редакционное размещение; не историческая дата возникновения.";Копилка собирает небольшие суммы в общий запас. Отдельная монета становится частью будущего решения, которое ещё нельзя оплатить сегодня.;"На условном примере собрать сумму по частям; затем рассмотреть форму выбранной исторической копилки.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
13.09;"Домашняя тетрадь расходов: хозяйство становится записью. [У] Редакционное размещение; не историческая дата возникновения.";Домашние расходы попадают в тетрадь. Запись делает хозяйство обозримым: деньги связываются с датами, покупками и памятью о сделанном выборе.;"Разнести реальные записи выбранного документа по расходам; увидеть структуру бюджета без вымышленных сумм.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
14.09;Семёнов день: осень встречают особым порядком. [К] Ежегодная дата по современному гражданскому календарю.;Семёнов день отмечают особым местным порядком. Встреча осени получает человеческую форму через действия, которые повторяются в годовом круге.;"На ленте сопоставить историческое новолетие и местные осенины; даты старого и нового стиля показать отдельно.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — СЕМЕНОВ ДЕНЬ: https://ethnomuseum.ru/collections/ethnocalendar/september/semenov-den/"
15.09;"Новая лучина: свет как начало вечерних работ. [У] Редакционное размещение; не историческая дата возникновения.";Новая лучина даёт свет для вечерней работы. С наступлением длинных вечеров домашнее ремесло зависит от маленького, постоянно сменяемого огня.;"Сравнить летний и осенний день по локальному описанию; выбрать занятия, требующие освещения.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — СЕМЕНОВ ДЕНЬ: https://ethnomuseum.ru/collections/ethnocalendar/september/semenov-den/"
16.09;"Погреб: прохлада становится частью дома. [У] Редакционное размещение; не историческая дата возникновения.";Погреб использует прохладу как часть домашнего устройства. Место хранения помогает урожаю пережить сезон, когда свежий сбор уже закончился.;"На документированном разрезе найти место хранения; связать устройство с хозяйственным назначением.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
17.09;"Кадка для капусты: запас собирают слоями. [У] Редакционное размещение; не историческая дата возникновения.";Капустный запас укладывают в кадку слоями. Большая ёмкость собирает множество малых действий — за зимней порцией стоит общая работа заготовки.;"По историческому описанию сопоставить тару и объём совместной работы; показать этапы как музейный рассказ.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
18.09;"Сечка: капусту рубят особым орудием. [У] Редакционное размещение; не историческая дата возникновения.";Сечка рубит капусту особым лезвием. Назначение инструмента видно в его движении: знакомый продукт требует собственной организации работы.;"Показать условную траекторию сечки над корытом; сравнить с формой выбранного музейного образца.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
19.09;"Квашня и закваска: живое ожидание хлеба. [У] Редакционное размещение; не историческая дата возникновения.";В квашне тесто оставляют подниматься. Хлеб требует не только движения рук, но и ожидания — домашний труд умеет вовремя остановиться.;"Собрать стадии выбранного исторического способа выпечки; отличить время действий от времени ожидания.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
20.09;"Солёные огурцы: летний огород в осеннем запасе. [У] Редакционное размещение; не историческая дата возникновения.";Солёные огурцы переносят летний огород в холодный сезон. Заготовка меняет вкус продукта и продлевает путь урожая до семейного стола.;"Сопоставить календарь сбора и хранения в выбранном источнике; раскрыть роль исторической тары.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
21.09;"Коромысельные серьги: название подсказывает форму. [У] Редакционное размещение; не историческая дата возникновения.";Коромысельные серьги напоминают знакомое орудие формой. Бытовое сравнение помогает прочитать устройство украшения, которое носили совсем иначе.;"Сравнить силуэт выбранных серёг с названием из карточки; прочие значения не додумывать.";"Документированная собирательская работа О. П. Семёновой; рязанские коллекции. Номер выбранной вещи уточняется перед страницей. Источник: РЭМ — Ольга Петровна Семёнова: https://ethnomuseum.ru/collections/collectors/semenova-olga-petrovna/"
22.09;"Накосник и лента: подарок вплетается в причёску. [У] Редакционное размещение; не историческая дата возникновения.";Лента и накосник входят в причёску как подарок. Личная вещь соединяет украшение волос с памятью о человеке, который её преподнёс.;По документированной истории выбранного украшения соединить дарителя, получательницу и способ ношения.;"Документированная собирательская работа О. П. Семёновой; рязанские коллекции. Номер выбранной вещи уточняется перед страницей. Источник: РЭМ — Ольга Петровна Семёнова: https://ethnomuseum.ru/collections/collectors/semenova-olga-petrovna/"
23.09;"Сундук невесты: запас труда перед новой жизнью. [У] Редакционное размещение; не историческая дата возникновения.";Сундук невесты собирает вещи, подготовленные к новой жизни. За наполнением стоит запас семейного труда, который нельзя измерить одним размером сундука.;"Открыть опись выбранного приданого; распределить вещи по назначению и увидеть объём подготовленного труда.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
24.09;"Приданое на виду: вещи рассказывают о мастерстве. [У] Редакционное размещение; не историческая дата возникновения.";Приданое выставляют на обозрение. Ткань, швы и отделка делают мастерство видимым другим людям — домашний труд получает общественную оценку.;"Восстановить по локальному описанию порядок показа вещей; выделить предметы ручной работы.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
25.09;"Осенний наём: работа выводит человека из деревни. [У] Редакционное размещение; не историческая дата возникновения.";Осенний наём выводит работника за пределы деревни. Дорога связывает семейное хозяйство с чужой работой и новым порядком повседневной жизни.;"На документированной биографии провести путь от дома к месту работы; отметить возвращение и принесённые навыки.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
26.09;"Фотография в ателье: человек выбирает свой образ. [У] Редакционное размещение; не историческая дата возникновения.";В фотоателье человек выбирает, как предстать перед камерой. Костюм, поза и обстановка превращают снимок в подготовленное личное представление.;"На подписанном снимке отметить позу, фон и одежду; отделить наблюдение от догадки о характере.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
27.09;Воздвижение: капустные хлопоты в имени праздника. [К] Ежегодная дата по современному гражданскому календарю.;В народном описании Воздвижения появляются капустные хлопоты. Праздничное имя встречается с сезонной заготовкой семейного стола.;"Соединить названия «Капустки» и «Капустницы» с музейным описанием; раскрыть выбранный местный обычай.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — ВОЗДВИЖЕНИЕ: https://ethnomuseum.ru/collections/ethnocalendar/september/vozdvizhenie/"
28.09;"Семейный фотоальбом: подпись спасает имя. [У] Редакционное размещение; не историческая дата возникновения.";Подпись в альбоме сохраняет имя рядом с лицом. Несколько слов могут удержать связь поколений, которую само изображение уже не объясняет.;"Сравнить снимок с подписью и без неё; заполнить карточку только установленными сведениями.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
29.09;"Почтовый конверт: адрес рисует путь. [У] Редакционное размещение; не историческая дата возникновения.";Почтовый адрес превращает конверт в маршрут. Имя получателя и название места помогают личному письму пройти через незнакомые руки.;"Прочитать адрес и штемпели выбранного конверта; нанести подтверждённые пункты на карту.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
30.09;"Осенний ремонт одежды: вещь получает ещё сезон. [У] Редакционное размещение; не историческая дата возникновения.";Осенняя починка даёт одежде ещё один сезон. След ремонта показывает заботу о вещи и умение продолжить её службу вместо немедленной замены.;"Приблизить след ремонта на выбранном костюме; сопоставить материал заплаты и основной ткани.";"Музейный альбом русских локальных костюмных комплексов; конкретный комплект уточняется перед страницей. Источник: РЭМ — Русский народный костюм: https://collection.ethnomuseum.ru/entity/ARTICLE/2311"
