Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
16.08;"Мочёные яблоки: урожай меняет вкус во времени. [У] Редакционное размещение; не историческая дата возникновения.";Мочёные яблоки меняют вкус во время хранения. Заготовка превращает летний плод в другой опыт домашней еды, доступный после сбора урожая.;"На историческом описании разложить этапы заготовки; показать культурный способ хранения без современных пищевых рекомендаций.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
17.08;"Сушёные грибы: лесной урожай становится лёгким. [У] Редакционное размещение; не историческая дата возникновения.";При сушке грибы становятся легче и занимают меньше места. Лесной сбор получает форму запаса — результат сохраняют отдельной домашней работой.;"Сопоставить изображения до и после, подобрать историческую тару по источнику; открыть место грибов в питании.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
18.08;"Ягодное лукошко: бережно донести хрупкий сбор. [У] Редакционное размещение; не историческая дата возникновения.";Ягодное лукошко должно донести хрупкий сбор. Плетёная форма рассчитана на содержимое: труд собирателя продолжается дорогой домой.;"Сравнить два выбранных образца тары; на условной схеме показать размещение хрупкого груза.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
19.08;Яблочный Спас: первые плоды в праздничной истории. [К] Ежегодная дата по современному гражданскому календарю.;Яблочный Спас связывает плоды с праздничной историей. Сезонный урожай появляется в угощении и обычае конкретного местного сообщества.;"Развернуть музейное описание на три связанных сюжета; выбрать один местный обычай для подробного показа.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — Яблочного (6/19 августа): https://ethnomuseum.ru/collections/ethnocalendar/august/preobrazhenie-vtoroj-yablochnyj-spas/"
20.08;"Кисель: старое блюдо и знакомое новое слово. [У] Редакционное размещение; не историческая дата возникновения.";Знакомое слово «кисель» хранит историю другого блюда. Сравнение старого и нового стола показывает, как название переживает перемены приготовления.;"Сопоставить два документированных описания разных эпох; отметить исходный продукт и консистенцию.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
21.08;"Толокно: зерно, прошедшее долгую подготовку. [У] Редакционное размещение; не историческая дата возникновения.";Толокно — результат нескольких этапов подготовки зерна. За простой домашней пищей скрыто время работы, которого не видно в готовой порции.;"Собрать технологическую цепочку по выбранному историческому описанию; показать, на каком этапе меняется продукт.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
22.08;"Квасник: сосуд с характерным просветом. [У] Редакционное размещение; не историческая дата возникновения.";Просвет в кваснике делает сосуд узнаваемым. Необычная форма предлагает рассмотреть устройство бытовой вещи со всех сторон, а не только спереди.;"Повернуть выбранный сосуд, найти ручку, носик и отверстие корпуса; назначение деталей раскрыть по карточке.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
23.08;"Сбитенник: горячий напиток на улице. [У] Редакционное размещение; не историческая дата возникновения.";Сбитенник связан с горячим напитком и уличным угощением. Специальный сосуд выводит домашнее тепло в пространство городской встречи.;"На схеме выбранного медного сосуда проследить путь жидкости; сопоставить вещь с описанием торговли.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
24.08;"Постный и скоромный стол: календарь меняет набор продуктов. [У] Редакционное размещение; не историческая дата возникновения.";Постный и скоромный стол различаются набором продуктов. Годовой календарь меняет повседневный выбор еды, не меняя саму потребность накормить семью.;"Собрать два меню из документированных примеров; открыть историческое основание различий.";"История повседневного питания; региональный рецепт и посуда подбираются отдельно. Источник: Культура.РФ — Что ели на Руси до картошки: https://www.culture.ru/s/vopros/chto-eli-do-kartoshki/"
25.08;"Хлебная лопата: длинная рукоять для глубокой печи. [У] Редакционное размещение; не историческая дата возникновения.";Длинная хлебная лопата достигает глубины печи. Расстояние между руками и жаром превращено в размер простого деревянного инструмента.;"На условном разрезе печи провести лопату к поду; сопоставить длину и форму с музейной вещью.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
26.08;"Посевное зерно: часть урожая нельзя съесть. [У] Редакционное размещение; не историческая дата возникновения.";Часть зерна оставляют для нового посева. Урожай одновременно кормит сегодня и сохраняет возможность следующего года — весь запас съесть нельзя.;"В условном хозяйственном примере отделить посевной фонд от еды и обмена; увидеть смысл распределения без вымышленных норм.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
27.08;"Лён на мочиле: материал меняется до прядения. [У] Редакционное размещение; не историческая дата возникновения.";Лён меняется на мочиле ещё до прядения. Будущая нить начинается с обработки стебля, когда ткань пока невозможно увидеть в материале.;"На документированной схеме расставить стадии подготовки стебля; увидеть, где начинается отделение волокна.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
28.08;Успение: завершение лета в народном календаре. [К] Ежегодная дата по современному гражданскому календарю.;Успение входит в народную память о завершении лета. Праздник встречается с хозяйственным сезоном, но местный порядок работ требует отдельного рассказа.;"Сопоставить церковное название и хозяйственные мотивы музейного описания; выбрать локальную историю.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — УСПЕНИЕ ПРЕСВЯТОЙ БОГОРОДИЦЫ: https://ethnomuseum.ru/collections/ethnocalendar/august/uspenie-bogorodicy/"
29.08;Ореховый, Хлебный, Холщовый: три имени одного Спаса. [К] Ежегодная дата по современному гражданскому календарю.;Ореховый, Хлебный и Холщовый — имена одного Спаса. Разные названия сохраняют несколько хозяйственных связей внутри общей праздничной даты.;"Связать три названия с продуктом или материалом; открыть объяснение и различия местных обычаев.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — ТРЕТИЙ СПАС (ОРЕХОВЫЙ, ХЛЕБНЫЙ,  ХОЛЩОВЫЙ): https://ethnomuseum.ru/collections/ethnocalendar/august/tretij-spas-holwovyj-orehovyj/"
30.08;"Соломенная подстилка: у урожая нет одной полезной части. [У] Редакционное размещение; не историческая дата возникновения.";Солома служит подстилкой после того, как зерно убрано. У урожая оказывается больше одной полезной части — хозяйство продолжает использовать растение.;"По описанию хозяйства распределить зерно, мякину и солому между применениями; собрать карту бережного использования.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
31.08;Флор и Лавр: день заботы о лошади. [К] Ежегодная дата по современному гражданскому календарю.;День Флора и Лавра связан с заботой о лошадях. Праздничное внимание обращено к животному, чья сила участвовала в ежедневном человеческом труде.;"Связать музейное описание праздника с конским снаряжением; показать выбранный обычай без переноса обрядов других народов.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — ДЕНЬ ПАМЯТИ СВЯТЫХ ФЛОРА И ЛАВРА: https://ethnomuseum.ru/collections/ethnocalendar/august/den-pamyati-svyatyh-flora-i-lavra/"
