Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
11.03;"Солоница-утица: птица, которая хранит соль. [У] тематическое размещение; дата не является годовщиной";Где у деревянной утки спряталась крышка?;Сдвинуть верх спинки на схеме, открыть полость и вернуть крышку. Рассмотреть, как мастер совместил узнаваемую птицу с удобным сосудом.;"XIX в., Российская империя; музей «Русская старина», Смоленск. Дерево, долбление и резьба; музей описывает сдвижную крышку. Точное место изготовления не указано. Источник: Музей «Русская старина» — солоница: https://ar.culture.ru/ru/subject/solonica-1"
12.03;"Туес: сосуд с двумя берестяными стенками. [У] тематическое размещение; дата не является годовщиной";Как берёзовая кора превращается в посуду для питья?;Раздвинуть слои схемы: сколотень, наружная рубашка, дно и крышка. Собрать обратно и проследить, где остаётся цельная внутренняя стенка.;"Начало XX в.; Голышмановский краеведческий музей. Береста и дерево; точное место изготовления не указано. Обзор описывает конструкцию туесов в русском быту. Источник: Голышмановский музей — туес: https://ar.culture.ru/ru/subject/tues-28"
13.03;"Крынка из Уразова: горло, за которое удобно держать. [У] тематическое размещение; дата не является годовщиной";Почему у этого молочного сосуда нет ручки?;Совместить контур руки со сужением крынки, затем открыть разрез сосуда. Увидеть, как форма помогает держать и обслуживать повседневную посуду.;"Слобода Уразово, конец XIX в.; Уразовский краеведческий музей. Гончарная работа; карточка подтверждает местное изготовление и применение для молока. Источник: Уразовский музей — крынка: https://ar.culture.ru/ru/subject/krynka-26"
14.03;Авдотья Плющиха: весна говорит названиями. [К] Авдотья Плющиха — 14 марта по современному календарю;Почему один день зовут и Свистуньей, и Весновкой, и Плющихой?;Соединить народные названия с явлениями: ветер, оттепель, подтаявший наст. Открыть музейное пояснение и различить наблюдение за погодой и примету о будущем.;14 марта, 1 марта по старому стилю. Белгородский государственный музей народной культуры публикует названия и объяснения дня. Это обзор традиции, не описание одного экспоната. Источник: Белгородский музей народной культуры — 14 марта: https://xn--90aevhf.xn--p1ai/%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C/%D0%BC%D0%B0%D1%80%D1%82/14-%D0%BC%D0%B0%D1%80%D1%82%D0%B0
15.03;"Ступа: крупа начинается с тяжёлого песта. [У] тематическое размещение; дата не является годовщиной";Что делали со ступой в настоящем доме, пока Баба-яга летала в сказке?;На схеме разделить зерно, оболочку и результат толчения. Затем рассмотреть толстое основание ступы и объяснить, зачем ей устойчивость.;"Конец XIX — начало XX в., Архангельская область — в современной географии карточки; «Выставочные залы Москвы», «Протомузей». Ступа выдолблена из цельного комля берёзы. Источник: Объединение «Выставочные залы Москвы» — ступа с пестом: https://ar.culture.ru/ru/subject/stupa-s-pestom-15"
16.03;"Ручные жернова: мука между двумя камнями. [У] тематическое размещение; дата не является годовщиной";Куда исчезает зерно, которое насыпали в середину?;"Повернуть верхний жернов учебной модели; разрез показывает путь зерна от отверстия к краю. Сравнить помол с толчением в ступе.";"1930 г., СССР; Верхнепышминский исторический музей. Гранитные ручные жернова. Место изготовления точнее страны не указано. Источник: Верхнепышминский музей — жернова: https://ar.culture.ru/ru/subject/zhernova-28"
17.03;Герасим Грачевник: заметить возвращение птиц. [К] Герасим Грачевник — ежегодный день народного календаря;Как прилёт грачей превращался в событие всей деревни?;Отметить птиц и гнёзда на документированном весеннем изображении, затем открыть местное наблюдение и народное толкование. Сравнить, что человек видел и чего ожидал.;17 марта. РЭМ связывает день с наблюдениями за грачами в центральной и отчасти северной России и описывает встречу весны. Реальный прилёт зависит от места и погоды. Источник: РЭМ — Герасим Грачевник: https://ethnomuseum.ru/collections/ethnocalendar/march/gerasim-grachevnik/
18.03;"Решето из Заузолья: размер дырочек меняет результат. [У] тематическое размещение; дата не является годовщиной";Почему одной сеткой нельзя одинаково просеять всё?;"Сопоставить две учебные сетки с разными ячейками и одну смесь условных частиц. Увидеть, что проходит вниз, а что остаётся сверху; открыть реальное лыковое решето.";"Первая половина XX в.; МВЦ «Отчина», экспозиция «Быт крестьян Заузолья». Деревянный обод и плетёное полотно; музей отличает решето от более мелкого сита. Источник: МВЦ «Отчина» — решето: https://ar.culture.ru/ru/subject/resheto-6"
19.03;"Грифельная доска: тетрадь, которую можно стереть. [У] тематическое размещение; дата не является годовщиной";Как учиться письму, если новая страница не нужна?;Написать слово на цифровом поле, стереть его и решить короткую задачу. Рядом остаётся музейная доска и объяснение, почему сланец служил школьной принадлежностью.;"Начало XX в., Российская империя; Нижнеломовский краеведческий музей. Сланец в деревянной раме, 25 × 18 см. Источник: Нижнеломовский музей — грифельная доска: https://ar.culture.ru/ru/subject/doska-grifelnaya"
20.03;"Скобель северного плотника: нож с двумя ручками. [У] тематическое размещение; дата не является годовщиной";Зачем держать один нож сразу двумя руками?;"Проследить направление рабочего движения на схеме заготовки. Поочерёдно открыть кору и очищенную поверхность; увидеть назначение широкого лезвия.";"Первая половина XX в.; Северный морской музей, Архангельск. Металл и дерево; инструмент из экспозиции северного мореплавания. Конкретный мастер и место изготовления не указаны. Источник: Северный морской музей — скобель: https://ar.culture.ru/ru/subject/skobel-2"
21.03;"Абашевская барыня: маленькая скульптура со свистом. [У] тематическое размещение; дата не является годовщиной";Как внутри нарядной глиняной фигуры помещается музыкальный инструмент?;Повернуть изображение и найти свистковый канал, затем открыть подписанную схему его работы. Прослушать запись аналогичного инструмента, указав исполнителя и образец.;"Начало XXI в., село Абашево, Пензенская область; Туапсинский музей им. Н. Г. Полетаева. Глина, лепка, обжиг, роспись; игрушка «Барыня». Источник: Туапсинский музей — абашевская «Барыня»: https://ar.culture.ru/ru/subject/igrushka-abashevskaya-barynya-svistulka"
22.03;Сороки: жаворонок, которого испекли для весны. [К] Сороки — 22 марта, 9 марта по старому стилю;Почему весну встречали с птицей из теста в руках?;Сравнить два музейных муляжа и собрать условный силуэт летящей птицы. Открыть рассказ о детском участии во встрече весны и о том, как съедобная вещь попала в музей.;"22 марта. РЭМ: муляж печенья «жаворонки», русские, г. Тверь, 1904 г.; второй муляж «жаворонок», русские, 1910 г. Это музейные муляжи, не сохранившаяся выпечка. Источник: РЭМ — Сороки и музейные муляжи жаворонков: https://ethnomuseum.ru/collections/ethnocalendar/march/soroki-den-pamyati-soroka-muchenikov-sevastijskih/"
23.03;"Лапти 1933 года: обувь из переплетённых полос. [У] тематическое размещение; дата не является годовщиной";Как плоские полоски лыка огибают человеческую стопу?;Сложить один участок косого плетения, затем увидеть его место в целом лапте. Добавить на схему онучи и оборы и понять, что обувь была частью комплекта.;"1933 г., Шабалинский район; Шабалинский краеведческий музей. Лыко, плетение. Музей описывает косую решётку русских лаптей и способы ношения. Источник: Шабалинский музей — лапти 1933 года: https://ar.culture.ru/ru/subject/lapti-1"
24.03;"Кузнецкий поршень: кожаная обувь без сапожного голенища. [У] тематическое размещение; дата не является годовщиной";Как кусок кожи превращается в обувь?;Сопоставить сохранившуюся обувь с подписанной развёрткой выбранного типа. Стянуть край модели и увидеть, где образуется объём для стопы.;"XVII в., Россия; музей-заповедник «Кузнецкая крепость». Карточка описывает поршень и находки сапожных инструментов в Кузнецке. Источник: Музей «Кузнецкая крепость» — поршень: https://ar.culture.ru/ru/subject/porshen"
25.03;"Сошник из Мариинска: железо на конце деревянной сохи. [У] тематическое размещение; дата не является годовщиной";Почему от старого орудия в музее могла остаться только железная часть?;Поместить сошник на подписанную реконструкцию сохи. Увидеть, какая часть соприкасается с почвой и почему деревянная основа сохраняется хуже металла.;"Начало XVIII в.; Музей истории города Мариинска. Металлический сошник; описание связано с земледелием русских переселенцев в Сибири. Источник: Музей истории Мариинска — сошник: https://ar.culture.ru/ru/subject/nakonechnik-rogatiny-1"
26.03;"Игрушечная борона: хозяйство в детском масштабе. [У] тематическое размещение; дата не является годовщиной";Зачем ребёнку уменьшенная копия сельского орудия?;Сопоставить миниатюру с подписанной схемой полноразмерной бороны, найти совпадающие части. После сравнения обсудить, как дети знакомились с трудом взрослых.;"Кунсткамера: «Борона игрушечная», русские; Архангельская губерния, Печорский уезд, вторая половина XIX в., карточка OBJECT/299241. Атрибуция доступна в индексируемом описании; полное открытие карточки при проверке остановлено ошибкой сертификата. Источник: Кунсткамера — игрушечная борона, русские: https://collection.kunstkamera.ru/entity/OBJECT/299241?fund=22&index=15"
27.03;"Севалка: зерно несут навстречу будущему хлебу. [У] тематическое размещение; дата не является годовщиной";Как пройти поле и не оставить пустую полосу?;"На учебной схеме разметить пройденные полосы вешками, затем пройти с севалкой. Подсветка показывает пропуски и перекрытия; рядом — рассказ об опыте сеятеля.";"XIX — начало XX в.; Вичугский городской музей. Севалка для ручного сева; музей описывает вешки и участие детей в разметке. Источник: Вичугский городской музей — севалка: https://ar.culture.ru/ru/subject/sevalka-1"
28.03;"Бочонок: доски держат воду без гвоздей. [У] тематическое размещение; дата не является годовщиной";Что удерживает вместе десятки отдельных деревянных частей?;"Подобрать клёпки по форме и надеть обручи на схему. Разрез показывает плотное соединение боковин и дна; посетитель объясняет роль обруча.";"Исетский музей им. А. Л. Емельянова. Деревянный бочонок; в шапке карточки конец XIX в., в тексте начало XX в. Для календаря — рубеж XIX–XX вв.; расхождение требует уточнения. Источник: Исетский музей — бочонок: https://ar.culture.ru/ru/subject/bochonok-6"
29.03;"Сердобские ходики: домашнее время на цепочке. [У] тематическое размещение; дата не является годовщиной";Что заставляет часы идти, когда в них нет батарейки?;На схеме поднять гирю и проследить передачу движения к механизму. Сопоставить циферблат с семейным распорядком, увидеть место часов в доме.;"1947 г., Сердобский часовой завод; Историко-краеведческий музей Сердобска. Настенные маятниковые гиревые часы. Источник: Музей Сердобска — ходики 1947 года: https://ar.culture.ru/ru/subject/chasy-nastennye-mayatnikovye-girevye"
30.03;Алексей Тёплый: прочитать весну по её именам. [К] Алексей Тёплый — ежегодная дата народного календаря;Почему у одного дня столько водяных названий?;Сопоставить названия «водотек», «пролей кувшин», «с гор потоки» с изображениями весенней воды. Открыть объяснение и отделить метафору от прогноза погоды.;30 марта. Программа Старооскольского Дома ремёсел «Секреты Алексея теплого», 2025 г., описывает названия дня и народные представления. Это современное культурное описание, не полевая запись. Источник: Старооскольский Дом ремёсел — «Секреты Алексея теплого»: https://www.culture.ru/events/5691822/programma-sekrety-ale
31.03;"Александр Шутихин: узор вдавлен в бересту. [У] тематическое размещение; дата не является годовщиной";Как украсить бересту рисунком, не рисуя по ней кистью?;Выбрать два чекана и поставить оттиски на условной берестяной полосе. Сопоставить с работой Шутихина: рисунок возникает от давления и повторения, а затем помогает прочитать руку мастера.;"Александр Владимирович Шутихин, Котлас; работает с берестой с 1991 г. Описание Центра русского фольклора на Культура.РФ, этнос — русские; объяснены инструменты и тиснение. Источник: Центр русского фольклора / Культура.РФ — Александр Шутихин: https://www.culture.ru/objects/2975/tvorcheskoe-nasledie-berestyanshika-aleksandra-vladimirovicha-shutikhina-iz-goroda-kotlas-arkhangelskoi-oblasti"
